"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","Pay-as-you-go","1 GB","455.5259","2020-02-01T00:00:00.000Z","0","455.5259"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","100","1/Day","38760.617","2020-09-01T00:00:00.000Z","85.0898","387.6062"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","200","1/Day","72775.036","2020-09-01T00:00:00.000Z","187.7551","363.8752"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","300","1/Day","106789.455","2020-09-01T00:00:00.000Z","293.4782","355.9648"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","400","1/Day","139221.808","2020-09-01T00:00:00.000Z","391.1112","348.0545"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","500","1/Day","171060.8863","2020-09-01T00:00:00.000Z","491.4773","342.1218"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","1000","1/Day","336189.025","2021-06-01T00:00:00.000Z","982.6589","336.189"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","2000","1/Day","656557.39","2021-06-01T00:00:00.000Z","1952.9413","328.2787"
"2023-03-29T13:50:58.330Z","Azure Monitor","australiacentral2","JPY","5000","1/Day","1591953.9125","2021-06-01T00:00:00.000Z","4849.3975","318.3908"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","Pay-as-you-go","1 GB","442.5667","2020-02-01T00:00:00.000Z","0","442.5667"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","100","1/Day","37657.921","2020-09-01T00:00:00.000Z","85.0898","376.5792"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","200","1/Day","70704.668","2020-09-01T00:00:00.000Z","187.7551","353.5233"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","300","1/Day","103751.415","2020-09-01T00:00:00.000Z","293.4783","345.838"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","400","1/Day","135261.104","2020-09-01T00:00:00.000Z","391.1112","338.1528"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","500","1/Day","166194.3963","2020-09-01T00:00:00.000Z","491.4772","332.3888"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","1000","1/Day","326624.825","2021-06-01T00:00:00.000Z","982.6589","326.6248"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","2000","1/Day","637879.07","2021-06-01T00:00:00.000Z","1952.9413","318.9395"
"2023-04-12T11:28:34.468Z","Azure Monitor","australiacentral2","JPY","5000","1/Day","1546664.6125","2021-06-01T00:00:00.000Z","4849.3981","309.3329"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","Pay-as-you-go","1 GB","445.3723","2020-02-01T00:00:00.000Z","0","445.3723"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","100","1/Day","37896.649","2020-09-01T00:00:00.000Z","85.0898","378.9665"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","200","1/Day","71152.892","2020-09-01T00:00:00.000Z","187.7551","355.7645"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","300","1/Day","104409.135","2020-09-01T00:00:00.000Z","293.4782","348.0304"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","400","1/Day","136118.576","2020-09-01T00:00:00.000Z","391.1112","340.2964"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","500","1/Day","167247.9663","2020-09-01T00:00:00.000Z","491.4773","334.4959"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","1000","1/Day","328695.425","2021-06-01T00:00:00.000Z","982.6591","328.6954"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","2000","1/Day","641922.83","2021-06-01T00:00:00.000Z","1952.9413","320.9614"
"2023-05-02T06:07:40.927Z","Azure Monitor","australiacentral2","JPY","5000","1/Day","1556469.5125","2021-06-01T00:00:00.000Z","4849.3978","311.2939"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","Pay-as-you-go","1 GB","469.2533","2020-02-01T00:00:00.000Z","0","469.2533"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","100","1/Day","39928.679","2020-09-01T00:00:00.000Z","85.0898","399.2868"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","200","1/Day","74968.132","2020-09-01T00:00:00.000Z","187.7551","374.8407"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","300","1/Day","110007.585","2020-09-01T00:00:00.000Z","293.4782","366.6920"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","400","1/Day","143417.296","2020-09-01T00:00:00.000Z","391.1111","358.5432"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","500","1/Day","176215.8537","2020-09-01T00:00:00.000Z","491.4773","352.4317"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","1000","1/Day","346320.175","2021-06-01T00:00:00.000Z","982.6590","346.3202"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","2000","1/Day","676342.93","2021-06-01T00:00:00.000Z","1952.9410","338.1715"
"2023-06-02T06:07:42.568Z","Azure Monitor","australiacentral2","JPY","5000","1/Day","1639927.8875","2021-06-01T00:00:00.000Z","4849.3971","327.9856"
