"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","Pay-as-you-go","1 GB","403.098","2020-09-01T00:00:00.000Z","0","403.098"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","100","1/Day","34350.96","2020-10-01T00:00:00.000Z","85.2174","343.5096"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","200","1/Day","64495.68","2020-10-01T00:00:00.000Z","187.7551","322.4784"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","300","1/Day","94640.4","2020-10-01T00:00:00.000Z","293.4783","315.468"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","400","1/Day","123383.04","2020-10-01T00:00:00.000Z","391.1111","308.4576"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","500","1/Day","151599.9","2020-10-01T00:00:00.000Z","491.4773","303.1998"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","1000","1/Day","297942","2021-06-01T00:00:00.000Z","982.659","297.942"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","2000","1/Day","581863.2","2021-06-01T00:00:00.000Z","1952.9412","290.9316"
"2023-03-29T13:50:58.330Z","Azure Monitor","brazilsoutheast","RUB","5000","1/Day","1410843","2021-06-01T00:00:00.000Z","4849.3976","282.1686"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","Pay-as-you-go","1 GB","408.6525","2020-09-01T00:00:00.000Z","0","408.6525"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","100","1/Day","34824.3","2020-10-01T00:00:00.000Z","85.2174","348.243"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","200","1/Day","65384.4","2020-10-01T00:00:00.000Z","187.7551","326.922"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","300","1/Day","95944.5","2020-10-01T00:00:00.000Z","293.4783","319.815"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","400","1/Day","125083.2","2020-10-01T00:00:00.000Z","391.1111","312.708"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","500","1/Day","153688.875","2020-10-01T00:00:00.000Z","491.4773","307.3778"
"2023-04-12T11:28:34.468Z","Azure Monitor","brazilsoutheast","RUB","1000","1/Day","302047.5","2021-06-01T00:00:00.000Z","982.6588","302.0475"
