"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","Pay-as-you-go","1 GB","3.3752","2018-02-01T00:00:00.000Z","0","3.3752"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","100","1/Day","254.4389","2019-11-01T00:00:00.000Z","75.3848","2.5444"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","200","1/Day","477.7219","2019-11-01T00:00:00.000Z","187.7542","2.3886"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","300","1/Day","701.005","2019-11-01T00:00:00.000Z","293.4794","2.3367"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","400","1/Day","913.9028","2019-11-01T00:00:00.000Z","391.1083","2.2848"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","500","1/Day","1122.9062","2019-11-01T00:00:00.000Z","491.468","2.2458"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","1000","1/Day","2206.8677","2021-06-01T00:00:00.000Z","982.6644","2.2069"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","2000","1/Day","4309.8827","2021-06-01T00:00:00.000Z","1952.9125","2.1549"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","GBP","5000","1/Day","10450.1675","2021-06-01T00:00:00.000Z","4849.4907","2.09"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","Pay-as-you-go","1 GB","3.2736","2018-02-01T00:00:00.000Z","0","3.2736"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","100","1/Day","246.7812","2019-11-01T00:00:00.000Z","75.3853","2.4678"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","200","1/Day","463.3443","2019-11-01T00:00:00.000Z","187.7560","2.3167"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","300","1/Day","679.9074","2019-11-01T00:00:00.000Z","293.4810","2.2664"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","400","1/Day","886.3978","2019-11-01T00:00:00.000Z","391.1039","2.2160"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","500","1/Day","1089.1109","2019-11-01T00:00:00.000Z","491.4760","2.1782"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","1000","1/Day","2140.4492","2021-06-01T00:00:00.000Z","982.6688","2.1404"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","2000","1/Day","4180.1714","2021-06-01T00:00:00.000Z","1952.9861","2.0901"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","GBP","5000","1/Day","10135.6566","2021-06-01T00:00:00.000Z","4849.3644","2.0271"
