"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","Pay-as-you-go","1 GB","307.086","2018-02-01T00:00:00.000Z","0","307.086"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","100","1/Day","23149.56","2019-11-01T00:00:00.000Z","75.3846","231.4956"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","200","1/Day","43464.48","2019-11-01T00:00:00.000Z","187.7551","217.3224"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","300","1/Day","63779.4","2019-11-01T00:00:00.000Z","293.4783","212.598"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","400","1/Day","83149.44","2019-11-01T00:00:00.000Z","391.1111","207.8736"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","500","1/Day","102165.15","2019-11-01T00:00:00.000Z","491.4773","204.3303"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","1000","1/Day","200787","2021-06-01T00:00:00.000Z","982.659","200.787"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","2000","1/Day","392125.2","2021-06-01T00:00:00.000Z","1952.9412","196.0626"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastasia","RUB","5000","1/Day","950785.5","2021-06-01T00:00:00.000Z","4849.3976","190.1571"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","Pay-as-you-go","1 GB","311.3175","2018-02-01T00:00:00.000Z","0","311.3175"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","100","1/Day","23468.55","2019-11-01T00:00:00.000Z","75.3846","234.6855"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","200","1/Day","44063.4","2019-11-01T00:00:00.000Z","187.7551","220.317"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","300","1/Day","64658.25","2019-11-01T00:00:00.000Z","293.4783","215.5275"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","400","1/Day","84295.2","2019-11-01T00:00:00.000Z","391.1111","210.738"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","500","1/Day","103572.9375","2019-11-01T00:00:00.000Z","491.4773","207.1459"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","1000","1/Day","203553.75","2021-06-01T00:00:00.000Z","982.6588","203.5538"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","2000","1/Day","397528.5","2021-06-01T00:00:00.000Z","1952.9407","198.7642"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastasia","RUB","5000","1/Day","963886.875","2021-06-01T00:00:00.000Z","4849.3988","192.7774"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","Pay-as-you-go","1 GB","333.4825","2018-02-01T00:00:00.000Z","0","333.4825"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","100","1/Day","25139.45","2019-11-01T00:00:00.000Z","75.3846","251.3945"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","200","1/Day","47200.6","2019-11-01T00:00:00.000Z","187.7551","236.003"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","300","1/Day","69261.75","2019-11-01T00:00:00.000Z","293.4783","230.8725"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","400","1/Day","90296.8","2019-11-01T00:00:00.000Z","391.1111","225.742"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","500","1/Day","110947.0625","2019-11-01T00:00:00.000Z","491.4773","221.8941"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","1000","1/Day","218046.25","2021-06-01T00:00:00.000Z","982.6591","218.0462"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","2000","1/Day","425831.5","2021-06-01T00:00:00.000Z","1952.9416","212.9158"
"2023-05-02T06:07:40.927Z","Azure Monitor","eastasia","RUB","5000","1/Day","1032513.125","2021-06-01T00:00:00.000Z","4849.3965","206.5026"
