"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","Pay-as-you-go","1 GB","3.4216","2018-02-01T00:00:00.000Z","0","3.4216"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","100","1/Day","291.5799","2019-11-01T00:00:00.000Z","85.2174","2.9158"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","200","1/Day","547.4561","2019-11-01T00:00:00.000Z","187.755","2.7373"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","300","1/Day","803.3323","2019-11-01T00:00:00.000Z","293.4762","2.6778"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","400","1/Day","1047.3073","2019-11-01T00:00:00.000Z","391.1074","2.6183"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","500","1/Day","1286.8194","2019-11-01T00:00:00.000Z","491.4713","2.5736"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","1000","1/Day","2529.0092","2021-06-01T00:00:00.000Z","982.6738","2.529"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","2000","1/Day","4939.0062","2021-06-01T00:00:00.000Z","1952.9483","2.4695"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","AUD","5000","1/Day","11975.6025","2021-06-01T00:00:00.000Z","4849.4037","2.3951"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","Pay-as-you-go","1 GB","3.4413","2018-02-01T00:00:00.000Z","0","3.4413"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","100","1/Day","293.2595","2019-11-01T00:00:00.000Z","85.2177","2.9326"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","200","1/Day","550.6097","2019-11-01T00:00:00.000Z","187.7548","2.7530"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","300","1/Day","807.9599","2019-11-01T00:00:00.000Z","293.4834","2.6932"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","400","1/Day","1053.3403","2019-11-01T00:00:00.000Z","391.1111","2.6334"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","500","1/Day","1294.2321","2019-11-01T00:00:00.000Z","491.4681","2.5885"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","1000","1/Day","2543.5775","2021-06-01T00:00:00.000Z","982.6454","2.5436"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","2000","1/Day","4967.4572","2021-06-01T00:00:00.000Z","1952.9239","2.4837"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","AUD","5000","1/Day","12044.5874","2021-06-01T00:00:00.000Z","4849.4534","2.4089"
