"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","Pay-as-you-go","1 GB","1.9263","2018-02-01T00:00:00.000Z","0","1.9263"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","100","1/Day","164.1541","2019-11-01T00:00:00.000Z","85.2173","1.6415"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","200","1/Day","308.2077","2019-11-01T00:00:00.000Z","187.7598","1.541"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","300","1/Day","452.2613","2019-11-01T00:00:00.000Z","293.4856","1.5075"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","400","1/Day","589.6147","2019-11-01T00:00:00.000Z","391.1209","1.474"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","500","1/Day","724.4556","2019-11-01T00:00:00.000Z","491.4896","1.4489"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","1000","1/Day","1423.7856","2021-06-01T00:00:00.000Z","982.6666","1.4238"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","2000","1/Day","2780.5695","2021-06-01T00:00:00.000Z","1952.9214","1.3903"
"2023-03-29T13:50:58.330Z","Azure Monitor","eastus","GBP","5000","1/Day","6742.0436","2021-06-01T00:00:00.000Z","4849.3445","1.3484"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","Pay-as-you-go","1 GB","1.8683","2018-02-01T00:00:00.000Z","0","1.8683"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","100","1/Day","159.2137","2019-11-01T00:00:00.000Z","85.2185","1.5921"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","200","1/Day","298.9318","2019-11-01T00:00:00.000Z","187.7594","1.4947"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","300","1/Day","438.6499","2019-11-01T00:00:00.000Z","293.4702","1.4622"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","400","1/Day","571.8695","2019-11-01T00:00:00.000Z","391.1021","1.4297"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","500","1/Day","702.6522","2019-11-01T00:00:00.000Z","491.4683","1.4053"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","1000","1/Day","1380.935","2021-06-01T00:00:00.000Z","982.6621","1.3809"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","2000","1/Day","2696.8848","2021-06-01T00:00:00.000Z","1952.9907","1.3484"
"2023-04-12T11:28:34.468Z","Azure Monitor","eastus","GBP","5000","1/Day","6539.1333","2021-06-01T00:00:00.000Z","4849.5501","1.3078"
