"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","Pay-as-you-go","1 GB","2.6182","2018-02-01T00:00:00.000Z","0","2.6182"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","100","1/Day","232.4147","2019-11-01T00:00:00.000Z","88.7689","2.3241"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","200","1/Day","436.3705","2019-11-01T00:00:00.000Z","187.7589","2.1819"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","300","1/Day","640.3263","2019-11-01T00:00:00.000Z","293.4719","2.1344"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","400","1/Day","834.7958","2019-11-01T00:00:00.000Z","391.115","2.087"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","500","1/Day","1025.7079","2019-11-01T00:00:00.000Z","491.4748","2.0514"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","1000","1/Day","2015.8421","2021-06-01T00:00:00.000Z","982.6665","2.0158"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","2000","1/Day","3936.8211","2021-06-01T00:00:00.000Z","1952.982","1.9684"
"2023-03-29T13:50:58.330Z","Azure Monitor","francecentral","EUR","5000","1/Day","9545.6055","2021-06-01T00:00:00.000Z","4849.4236","1.9091"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","Pay-as-you-go","1 GB","2.5482","2018-02-01T00:00:00.000Z","0","2.5482"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","100","1/Day","226.2026","2019-11-01T00:00:00.000Z","88.7696","2.2620"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","200","1/Day","424.7069","2019-11-01T00:00:00.000Z","187.7573","2.1235"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","300","1/Day","623.2112","2019-11-01T00:00:00.000Z","293.4830","2.0774"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","400","1/Day","812.4827","2019-11-01T00:00:00.000Z","391.1056","2.0312"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","500","1/Day","998.2919","2019-11-01T00:00:00.000Z","491.4789","1.9966"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","1000","1/Day","1961.961","2021-06-01T00:00:00.000Z","982.6510","1.9620"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","2000","1/Day","3831.5945","2021-06-01T00:00:00.000Z","1952.9024","1.9158"
"2023-04-12T11:28:34.468Z","Azure Monitor","francecentral","EUR","5000","1/Day","9290.4626","2021-06-01T00:00:00.000Z","4849.3906","1.8581"
