"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","Pay-as-you-go","1 GB","26.9923","2019-09-01T00:00:00.000Z","0","26.9923"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","100","1/Day","1891.8915","2023-03-01T00:00:00.000Z","70.09","18.9189"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","200","1/Day","3552.1228","2023-03-01T00:00:00.000Z","187.7553","17.7606"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","300","1/Day","5212.3541","2023-03-01T00:00:00.000Z","293.4785","17.3745"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","400","1/Day","6795.3653","2023-03-01T00:00:00.000Z","391.1114","16.9884"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","500","1/Day","8349.419","2023-03-01T00:00:00.000Z","491.4777","16.6988"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","1000","1/Day","16409.2628","2023-03-01T00:00:00.000Z","982.6612","16.4093"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","2000","1/Day","32046.3249","2023-03-01T00:00:00.000Z","1952.9367","16.0232"
"2023-03-29T13:50:58.330Z","Azure Monitor","germanynorth","CNY","5000","1/Day","77702.6854","2023-03-01T00:00:00.000Z","4849.3862","15.5405"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","Pay-as-you-go","1 GB","26.7731","2019-09-01T00:00:00.000Z","0","26.7731"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","100","1/Day","1876.5259","2023-03-01T00:00:00.000Z","70.0900","18.7653"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","200","1/Day","3523.273","2023-03-01T00:00:00.000Z","187.7547","17.6164"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","300","1/Day","5170.0202","2023-03-01T00:00:00.000Z","293.4777","17.2334"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","400","1/Day","6740.1745","2023-03-01T00:00:00.000Z","391.1111","16.8504"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","500","1/Day","8281.6064","2023-03-01T00:00:00.000Z","491.4783","16.5632"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","1000","1/Day","16275.9895","2023-03-01T00:00:00.000Z","982.6597","16.2760"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","2000","1/Day","31786.0502","2023-03-01T00:00:00.000Z","1952.9399","15.8930"
"2023-04-12T11:28:34.468Z","Azure Monitor","germanynorth","CNY","5000","1/Day","77071.5976","2023-03-01T00:00:00.000Z","4849.4052","15.4143"
