"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","Pay-as-you-go","1 GB","32.2978","2023-06-27T00:00:00.000Z","0","32.2978"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","100","1/Day","2731.165","2023-06-27T00:00:00.000Z","84.562","27.3116"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","200","1/Day","5127.9017","2023-06-27T00:00:00.000Z","187.7554","25.6395"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","300","1/Day","7524.6384","2023-06-27T00:00:00.000Z","293.4784","25.0821"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","400","1/Day","9809.8989","2023-06-27T00:00:00.000Z","391.1115","24.5247"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","500","1/Day","12053.3559","2023-06-27T00:00:00.000Z","491.4782","24.1067"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","1000","1/Day","23688.6763","2023-06-27T00:00:00.000Z","982.6594","23.6887"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","2000","1/Day","46262.5915","2023-06-27T00:00:00.000Z","1952.9392","23.1313"
"2023-06-28T06:09:29.480Z","Azure Monitor","italynorth","SEK","5000","1/Day","112172.8498","2023-06-27T00:00:00.000Z","4849.3967","22.4346"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","Pay-as-you-go","1 GB","32.3366","2023-06-27T00:00:00.000Z","0","32.3366"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","100","1/Day","2734.4393","2023-06-27T00:00:00.000Z","84.5617","27.3444"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","200","1/Day","5134.0493","2023-06-27T00:00:00.000Z","187.7551","25.6702"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","300","1/Day","7533.6593","2023-06-27T00:00:00.000Z","293.4788","25.1122"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","400","1/Day","9821.6596","2023-06-27T00:00:00.000Z","391.1111","24.5541"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","500","1/Day","12067.8062","2023-06-27T00:00:00.000Z","491.4783","24.1356"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","1000","1/Day","23717.0757","2023-06-27T00:00:00.000Z","982.6595","23.7171"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","2000","1/Day","46318.0537","2023-06-27T00:00:00.000Z","1952.9392","23.1590"
"2023-07-02T06:08:00.652Z","Azure Monitor","italynorth","SEK","5000","1/Day","112307.3291","2023-06-27T00:00:00.000Z","4849.4032","22.4615"
