"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","Pay-as-you-go","1 GB","2.9229","2018-02-01T00:00:00.000Z","0","2.9229"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","100","1/Day","248.6843","2019-11-01T00:00:00.000Z","85.0814","2.4868"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","200","1/Day","466.9175","2019-11-01T00:00:00.000Z","187.7584","2.3346"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","300","1/Day","685.1507","2019-11-01T00:00:00.000Z","293.4767","2.2838"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","400","1/Day","893.2334","2019-11-01T00:00:00.000Z","391.1172","2.2331"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","500","1/Day","1097.5098","2019-11-01T00:00:00.000Z","491.4736","2.195"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","1000","1/Day","2156.9558","2021-06-01T00:00:00.000Z","982.6678","2.157"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","2000","1/Day","4212.4077","2021-06-01T00:00:00.000Z","1952.9011","2.1062"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","CHF","5000","1/Day","10213.8199","2021-06-01T00:00:00.000Z","4849.4065","2.0428"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","Pay-as-you-go","1 GB","2.8596","2018-02-01T00:00:00.000Z","0","2.8596"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","100","1/Day","243.2997","2019-11-01T00:00:00.000Z","85.0817","2.4330"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","200","1/Day","456.8076","2019-11-01T00:00:00.000Z","187.7549","2.2840"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","300","1/Day","670.3155","2019-11-01T00:00:00.000Z","293.4831","2.2344"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","400","1/Day","873.8928","2019-11-01T00:00:00.000Z","391.1085","2.1847"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","500","1/Day","1073.7461","2019-11-01T00:00:00.000Z","491.4845","2.1475"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","1000","1/Day","2110.2525","2021-06-01T00:00:00.000Z","982.6554","2.1103"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","2000","1/Day","4121.199","2021-06-01T00:00:00.000Z","1952.8972","2.0606"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","CHF","5000","1/Day","9992.6663","2021-06-01T00:00:00.000Z","4849.3964","1.9985"
