"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","Pay-as-you-go","1 GB","21.961","2018-02-01T00:00:00.000Z","0","21.961"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","100","1/Day","1868.4464","2019-11-01T00:00:00.000Z","85.0802","18.6845"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","200","1/Day","3508.1035","2019-11-01T00:00:00.000Z","187.7547","17.5405"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","300","1/Day","5147.7606","2019-11-01T00:00:00.000Z","293.4786","17.1592"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","400","1/Day","6711.1546","2019-11-01T00:00:00.000Z","391.1112","16.7779"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","500","1/Day","8245.9498","2019-11-01T00:00:00.000Z","491.4769","16.4919"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","1000","1/Day","16205.913","2021-06-01T00:00:00.000Z","982.6589","16.2059"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","2000","1/Day","31649.1948","2021-06-01T00:00:00.000Z","1952.9427","15.8246"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreacentral","DKK","5000","1/Day","76739.7645","2021-06-01T00:00:00.000Z","4849.3968","15.348"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","Pay-as-you-go","1 GB","21.391","2018-02-01T00:00:00.000Z","0","21.391"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","100","1/Day","1819.9585","2019-11-01T00:00:00.000Z","85.0806","18.1996"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","200","1/Day","3417.0649","2019-11-01T00:00:00.000Z","187.7549","17.0853"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","300","1/Day","5014.1713","2019-11-01T00:00:00.000Z","293.4787","16.7139"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","400","1/Day","6536.9938","2019-11-01T00:00:00.000Z","391.1112","16.3425"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","500","1/Day","8031.9597","2019-11-01T00:00:00.000Z","491.4768","16.0639"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","1000","1/Day","15785.3542","2021-06-01T00:00:00.000Z","982.6601","15.7854"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","2000","1/Day","30827.8683","2021-06-01T00:00:00.000Z","1952.9355","15.4139"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreacentral","DKK","5000","1/Day","74748.2951","2021-06-01T00:00:00.000Z","4849.4083","14.9497"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","Pay-as-you-go","1 GB","20.9922","2018-02-01T00:00:00.000Z","0","20.9922"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","100","1/Day","1786.0235","2019-11-01T00:00:00.000Z","85.0803","17.8602"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","200","1/Day","3353.3503","2019-11-01T00:00:00.000Z","187.7555","16.7668"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","300","1/Day","4920.6771","2019-11-01T00:00:00.000Z","293.4774","16.4023"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","400","1/Day","6415.105","2019-11-01T00:00:00.000Z","391.1101","16.0378"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","500","1/Day","7882.1957","2019-11-01T00:00:00.000Z","491.4761","15.7644"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","1000","1/Day","15491.0205","2021-06-01T00:00:00.000Z","982.6584","15.4910"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","2000","1/Day","30253.0518","2021-06-01T00:00:00.000Z","1952.9438","15.1265"
"2023-05-02T06:07:40.927Z","Azure Monitor","koreacentral","DKK","5000","1/Day","73354.5382","2021-06-01T00:00:00.000Z","4849.4059","14.6709"
