"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","Pay-as-you-go","1 GB","94.7601","2018-02-01T00:00:00.000Z","0","94.7601"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","100","1/Day","7465.0275","2019-11-01T00:00:00.000Z","78.7782","74.6503"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","200","1/Day","14015.97","2019-11-01T00:00:00.000Z","187.755","70.0798"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","300","1/Day","20566.9125","2019-11-01T00:00:00.000Z","293.4785","68.5564"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","400","1/Day","26813.16","2019-11-01T00:00:00.000Z","391.111","67.0329"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","500","1/Day","32945.1469","2019-11-01T00:00:00.000Z","491.4773","65.8903"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","1000","1/Day","64747.6875","2021-06-01T00:00:00.000Z","982.6589","64.7477"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","2000","1/Day","126448.425","2021-06-01T00:00:00.000Z","1952.9408","63.2242"
"2023-03-29T13:50:58.330Z","Azure Monitor","koreasouth","TWD","5000","1/Day","306599.3437","2021-06-01T00:00:00.000Z","4849.3985","61.3199"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","Pay-as-you-go","1 GB","94.6575","2018-02-01T00:00:00.000Z","0","94.6575"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","100","1/Day","7456.9425","2019-11-01T00:00:00.000Z","78.7781","74.5694"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","200","1/Day","14000.79","2019-11-01T00:00:00.000Z","187.7552","70.0040"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","300","1/Day","20544.6375","2019-11-01T00:00:00.000Z","293.4781","68.4821"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","400","1/Day","26784.12","2019-11-01T00:00:00.000Z","391.1113","66.9603"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","500","1/Day","32909.4656","2019-11-01T00:00:00.000Z","491.4773","65.8189"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","1000","1/Day","64677.5625","2021-06-01T00:00:00.000Z","982.6594","64.6776"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","2000","1/Day","126311.475","2021-06-01T00:00:00.000Z","1952.9400","63.1557"
"2023-04-12T11:28:34.468Z","Azure Monitor","koreasouth","TWD","5000","1/Day","306267.2812","2021-06-01T00:00:00.000Z","4849.4005","61.2535"
