"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","Pay-as-you-go","1 GB","3.0912","2020-10-01T00:00:00.000Z","0","3.0912"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","100","1/Day","263.4212","2020-10-01T00:00:00.000Z","85.2165","2.6342"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","200","1/Day","494.5867","2020-10-01T00:00:00.000Z","187.7559","2.4729"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","300","1/Day","725.7522","2020-10-01T00:00:00.000Z","293.4822","2.4192"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","400","1/Day","946.1658","2020-10-01T00:00:00.000Z","391.1069","2.3654"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","500","1/Day","1162.5475","2020-10-01T00:00:00.000Z","491.4803","2.3251"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","1000","1/Day","2284.7754","2021-06-01T00:00:00.000Z","982.6568","2.2848"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","2000","1/Day","4462.0319","2021-06-01T00:00:00.000Z","1952.9201","2.231"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CHF","5000","1/Day","10819.0833","2021-06-01T00:00:00.000Z","4849.4322","2.1638"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","Pay-as-you-go","1 GB","3.0242","2020-10-01T00:00:00.000Z","0","3.0242"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","100","1/Day","257.7175","2020-10-01T00:00:00.000Z","85.2184","2.5772"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","200","1/Day","483.8777","2020-10-01T00:00:00.000Z","187.7533","2.4194"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","300","1/Day","710.0379","2020-10-01T00:00:00.000Z","293.4769","2.3668"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","400","1/Day","925.679","2020-10-01T00:00:00.000Z","391.1099","2.3142"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","500","1/Day","1137.3755","2020-10-01T00:00:00.000Z","491.4768","2.2748"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","1000","1/Day","2235.3045","2021-06-01T00:00:00.000Z","982.6378","2.2353"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","2000","1/Day","4365.4182","2021-06-01T00:00:00.000Z","1952.9451","2.1827"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CHF","5000","1/Day","10584.8243","2021-06-01T00:00:00.000Z","4849.4178","2.1170"
