"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","Pay-as-you-go","1 GB","22.8396","2020-10-01T00:00:00.000Z","0","22.8396"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","100","1/Day","1946.3344","2020-10-01T00:00:00.000Z","85.2175","19.4633"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","200","1/Day","3654.3421","2020-10-01T00:00:00.000Z","187.7555","18.2717"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","300","1/Day","5362.3499","2020-10-01T00:00:00.000Z","293.4784","17.8745"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","400","1/Day","6990.9154","2020-10-01T00:00:00.000Z","391.1111","17.4773"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","500","1/Day","8589.69","2020-10-01T00:00:00.000Z","491.4769","17.1794"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","1000","1/Day","16881.4718","2021-06-01T00:00:00.000Z","982.6578","16.8815"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","2000","1/Day","32968.5213","2021-06-01T00:00:00.000Z","1952.9379","16.4843"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","CNY","5000","1/Day","79938.7339","2021-06-01T00:00:00.000Z","4849.386","15.9877"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","Pay-as-you-go","1 GB","22.6541","2020-10-01T00:00:00.000Z","0","22.6541"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","100","1/Day","1930.5266","2020-10-01T00:00:00.000Z","85.2175","19.3053"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","200","1/Day","3624.6622","2020-10-01T00:00:00.000Z","187.7548","18.1233"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","300","1/Day","5318.7978","2020-10-01T00:00:00.000Z","293.4784","17.7293"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","400","1/Day","6934.1364","2020-10-01T00:00:00.000Z","391.1117","17.3353"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","500","1/Day","8519.9261","2020-10-01T00:00:00.000Z","491.4784","17.0399"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","1000","1/Day","16744.3633","2021-06-01T00:00:00.000Z","982.6562","16.7444"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","2000","1/Day","32700.7567","2021-06-01T00:00:00.000Z","1952.9369","16.3504"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","CNY","5000","1/Day","79289.4853","2021-06-01T00:00:00.000Z","4849.3912","15.8579"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","Pay-as-you-go","1 GB","22.7635","2020-10-01T00:00:00.000Z","0","22.7635"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","100","1/Day","1939.8459","2020-10-01T00:00:00.000Z","85.2174","19.3985"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","200","1/Day","3642.1597","2020-10-01T00:00:00.000Z","187.7547","18.2108"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","300","1/Day","5344.4734","2020-10-01T00:00:00.000Z","293.4782","17.8149"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","400","1/Day","6967.6098","2020-10-01T00:00:00.000Z","391.1114","17.419"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","500","1/Day","8561.0546","2020-10-01T00:00:00.000Z","491.478","17.1221"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","1000","1/Day","16825.1941","2021-06-01T00:00:00.000Z","982.6595","16.8252"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","2000","1/Day","32858.6144","2021-06-01T00:00:00.000Z","1952.9405","16.4293"
"2023-05-02T06:07:40.927Z","Azure Monitor","norwayeast","CNY","5000","1/Day","79672.2427","2021-06-01T00:00:00.000Z","4849.3997","15.9344"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","Pay-as-you-go","1 GB","23.2039","2020-10-01T00:00:00.000Z","0","23.2039"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","100","1/Day","1977.3754","2020-10-01T00:00:00.000Z","85.2174","19.7738"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","200","1/Day","3712.6232","2020-10-01T00:00:00.000Z","187.7547","18.5631"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","300","1/Day","5447.871","2020-10-01T00:00:00.000Z","293.4785","18.1596"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","400","1/Day","7102.4096","2020-10-01T00:00:00.000Z","391.1105","17.7560"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","500","1/Day","8726.6823","2020-10-01T00:00:00.000Z","491.4779","17.4534"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","1000","1/Day","17150.705","2021-06-01T00:00:00.000Z","982.6570","17.1507"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","2000","1/Day","33494.318","2021-06-01T00:00:00.000Z","1952.9417","16.7472"
"2023-06-02T06:07:42.568Z","Azure Monitor","norwayeast","CNY","5000","1/Day","81213.6325","2021-06-01T00:00:00.000Z","4849.3857","16.2427"
