"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","Pay-as-you-go","1 GB","100.2142","2020-10-01T00:00:00.000Z","0","100.2142"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","100","1/Day","8539.9915","2020-10-01T00:00:00.000Z","85.2174","85.3999"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","200","1/Day","16034.2697","2020-10-01T00:00:00.000Z","187.7551","80.1713"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","300","1/Day","23528.5479","2020-10-01T00:00:00.000Z","293.4784","78.4285"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","400","1/Day","30674.255","2020-10-01T00:00:00.000Z","391.1111","76.6856"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","500","1/Day","37689.248","2020-10-01T00:00:00.000Z","491.4775","75.3785"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","1000","1/Day","74071.3545","2021-06-01T00:00:00.000Z","982.6589","74.0714"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","2000","1/Day","144656.9982","2021-06-01T00:00:00.000Z","1952.94","72.3285"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwayeast","TWD","5000","1/Day","350749.6492","2021-06-01T00:00:00.000Z","4849.3975","70.1499"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","Pay-as-you-go","1 GB","100.1056","2020-10-01T00:00:00.000Z","0","100.1056"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","100","1/Day","8530.7422","2020-10-01T00:00:00.000Z","85.2174","85.3074"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","200","1/Day","16016.9038","2020-10-01T00:00:00.000Z","187.7552","80.0845"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","300","1/Day","23503.0653","2020-10-01T00:00:00.000Z","293.4783","78.3436"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","400","1/Day","30641.0333","2020-10-01T00:00:00.000Z","391.1109","76.6026"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","500","1/Day","37648.4287","2020-10-01T00:00:00.000Z","491.4772","75.2969"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","1000","1/Day","73991.1315","2021-06-01T00:00:00.000Z","982.6584","73.9911"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","2000","1/Day","144500.3274","2021-06-01T00:00:00.000Z","1952.9420","72.2502"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwayeast","TWD","5000","1/Day","350369.7697","2021-06-01T00:00:00.000Z","4849.3952","70.0740"
