"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","Pay-as-you-go","1 GB","25.5548","2020-10-01T00:00:00.000Z","0","25.5548"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","100","1/Day","2177.7168","2020-10-01T00:00:00.000Z","85.2175","21.7772"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","200","1/Day","4088.7744","2020-10-01T00:00:00.000Z","187.7548","20.4439"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","300","1/Day","5999.832","2020-10-01T00:00:00.000Z","293.4779","19.9994"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","400","1/Day","7822.0032","2020-10-01T00:00:00.000Z","391.1119","19.555"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","500","1/Day","9610.842","2020-10-01T00:00:00.000Z","491.4775","19.2217"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","1000","1/Day","18888.36","2021-06-01T00:00:00.000Z","982.6581","18.8884"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","2000","1/Day","36887.856","2021-06-01T00:00:00.000Z","1952.937","18.4439"
"2023-03-29T13:50:58.330Z","Azure Monitor","southafricawest","CNY","5000","1/Day","89441.94","2021-06-01T00:00:00.000Z","4849.405","17.8884"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","Pay-as-you-go","1 GB","25.3473","2020-10-01T00:00:00.000Z","0","25.3473"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","100","1/Day","2160.0298","2020-10-01T00:00:00.000Z","85.2174","21.6003"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","200","1/Day","4055.5661","2020-10-01T00:00:00.000Z","187.7551","20.2778"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","300","1/Day","5951.1024","2020-10-01T00:00:00.000Z","293.4787","19.837"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","400","1/Day","7758.4742","2020-10-01T00:00:00.000Z","391.1113","19.3962"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","500","1/Day","9532.7844","2020-10-01T00:00:00.000Z","491.4769","19.0656"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","1000","1/Day","18734.952","2021-06-01T00:00:00.000Z","982.6574","18.735"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","2000","1/Day","36588.2592","2021-06-01T00:00:00.000Z","1952.9362","18.2941"
"2023-04-12T11:28:34.468Z","Azure Monitor","southafricawest","CNY","5000","1/Day","88715.508","2021-06-01T00:00:00.000Z","4849.4054","17.7431"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","Pay-as-you-go","1 GB","25.4696","2020-10-01T00:00:00.000Z","0","25.4696"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","100","1/Day","2170.457","2020-10-01T00:00:00.000Z","85.2176","21.7046"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","200","1/Day","4075.1437","2020-10-01T00:00:00.000Z","187.7548","20.3757"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","300","1/Day","5979.8304","2020-10-01T00:00:00.000Z","293.4785","19.9328"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","400","1/Day","7795.927","2020-10-01T00:00:00.000Z","391.1105","19.4898"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","500","1/Day","9578.8024","2020-10-01T00:00:00.000Z","491.4777","19.1576"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","1000","1/Day","18825.392","2021-06-01T00:00:00.000Z","982.6592","18.8254"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","2000","1/Day","36764.8832","2021-06-01T00:00:00.000Z","1952.9403","18.3824"
"2023-05-02T06:07:40.927Z","Azure Monitor","southafricawest","CNY","5000","1/Day","89143.768","2021-06-01T00:00:00.000Z","4849.4086","17.8288"
