"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","Pay-as-you-go","1 GB","470.5283","2018-02-01T00:00:00.000Z","0","470.5283"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","100","1/Day","40364.5046","2019-11-01T00:00:00.000Z","85.7855","403.645"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","200","1/Day","75786.4168","2019-11-01T00:00:00.000Z","187.7551","378.9321"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","300","1/Day","111208.329","2019-11-01T00:00:00.000Z","293.4782","370.6944"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","400","1/Day","144982.7104","2019-11-01T00:00:00.000Z","391.1111","362.4568"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","500","1/Day","178139.2678","2019-11-01T00:00:00.000Z","491.4772","356.2785"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","1000","1/Day","350100.295","2021-06-01T00:00:00.000Z","982.6591","350.1003"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","2000","1/Day","683725.282","2021-06-01T00:00:00.000Z","1952.9411","341.8626"
"2023-03-29T13:50:58.330Z","Azure Monitor","southindia","JPY","5000","1/Day","1657827.8675","2021-06-01T00:00:00.000Z","4849.3982","331.5656"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","Pay-as-you-go","1 GB","457.1423","2018-02-01T00:00:00.000Z","0","457.1423"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","100","1/Day","39216.1798","2019-11-01T00:00:00.000Z","85.7855","392.1618"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","200","1/Day","73630.3784","2019-11-01T00:00:00.000Z","187.7551","368.1519"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","300","1/Day","108044.577","2019-11-01T00:00:00.000Z","293.4783","360.1486"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","400","1/Day","140858.1152","2019-11-01T00:00:00.000Z","391.1111","352.1453"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","500","1/Day","173071.4058","2019-11-01T00:00:00.000Z","491.4773","346.1428"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","1000","1/Day","340140.335","2021-06-01T00:00:00.000Z","982.659","340.1403"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","2000","1/Day","664274.066","2021-06-01T00:00:00.000Z","1952.9414","332.137"
"2023-04-12T11:28:34.468Z","Azure Monitor","southindia","JPY","5000","1/Day","1610664.5275","2021-06-01T00:00:00.000Z","4849.3981","322.1329"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","Pay-as-you-go","1 GB","460.0403","2018-02-01T00:00:00.000Z","0","460.0403"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","100","1/Day","39464.7862","2019-11-01T00:00:00.000Z","85.7855","394.6479"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","200","1/Day","74097.1496","2019-11-01T00:00:00.000Z","187.7551","370.4857"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","300","1/Day","108729.513","2019-11-01T00:00:00.000Z","293.4783","362.4317"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","400","1/Day","141751.0688","2019-11-01T00:00:00.000Z","391.1111","354.3777"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","500","1/Day","174168.5718","2019-11-01T00:00:00.000Z","491.4772","348.3371"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","1000","1/Day","342296.615","2021-06-01T00:00:00.000Z","982.6591","342.2966"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","2000","1/Day","668485.154","2021-06-01T00:00:00.000Z","1952.9413","334.2426"
"2023-05-02T06:07:40.927Z","Azure Monitor","southindia","JPY","5000","1/Day","1620875.1475","2021-06-01T00:00:00.000Z","4849.3973","324.175"
"2023-06-02T06:07:42.568Z","Azure Monitor","southindia","JPY","Pay-as-you-go","1 GB","484.7077","2018-02-01T00:00:00.000Z","0","484.7077"
"2023-06-02T06:07:42.568Z","Azure Monitor","southindia","JPY","100","1/Day","41580.9002","2019-11-01T00:00:00.000Z","85.7855","415.8090"
