"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","Pay-as-you-go","1 GB","227.838","2021-08-01T00:00:00.000Z","0","227.838"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","100","1/Day","25031.7","2021-08-01T00:00:00.000Z","109.8662","250.317"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","200","1/Day","46997.874","2021-08-01T00:00:00.000Z","187.7534","234.9894"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","300","1/Day","68964.048","2021-08-01T00:00:00.000Z","293.4773","229.8802"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","400","1/Day","89908.38","2021-08-01T00:00:00.000Z","391.1097","224.771"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","500","1/Day","110470.188","2021-08-01T00:00:00.000Z","491.4788","220.9404"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","1000","1/Day","217109.04","2021-06-08T00:00:00.000Z","982.6589","217.109"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","2000","1/Day","424001.184","2021-06-08T00:00:00.000Z","1952.9415","212.0006"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","RUB","5000","1/Day","1028075.16","2021-06-08T00:00:00.000Z","4849.3974","205.615"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","Pay-as-you-go","1 GB","230.9775","2021-08-01T00:00:00.000Z","0","230.9775"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","100","1/Day","25376.625","2021-08-01T00:00:00.000Z","109.8662","253.7662"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","200","1/Day","47645.4825","2021-08-01T00:00:00.000Z","187.7535","238.2274"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","300","1/Day","69914.34","2021-08-01T00:00:00.000Z","293.4773","233.0478"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","400","1/Day","91147.275","2021-08-01T00:00:00.000Z","391.1098","227.8682"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","500","1/Day","111992.415","2021-08-01T00:00:00.000Z","491.4789","223.9848"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","1000","1/Day","220100.7","2021-06-08T00:00:00.000Z","982.6591","220.1007"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","2000","1/Day","429843.72","2021-06-08T00:00:00.000Z","1952.9412","214.9219"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","RUB","5000","1/Day","1042241.55","2021-06-08T00:00:00.000Z","4849.3967","208.4483"
