"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","Pay-as-you-go","1 GB","4.6772","2018-02-01T00:00:00.000Z","0","4.6772"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","100","1/Day","397.8888","2019-11-01T00:00:00.000Z","85.0699","3.9789"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","200","1/Day","747.0564","2019-11-01T00:00:00.000Z","187.7545","3.7353"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","300","1/Day","1096.2241","2019-11-01T00:00:00.000Z","293.4769","3.6541"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","400","1/Day","1429.1514","2019-11-01T00:00:00.000Z","391.109","3.5729"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","500","1/Day","1755.9886","2019-11-01T00:00:00.000Z","491.4743","3.512"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","1000","1/Day","3451.0759","2021-06-01T00:00:00.000Z","982.6526","3.4511"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","2000","1/Day","6739.7483","2021-06-01T00:00:00.000Z","1952.9276","3.3699"
"2023-03-29T13:50:58.330Z","Azure Monitor","uksouth","NZD","5000","1/Day","16341.8595","2021-06-01T00:00:00.000Z","4849.3604","3.2684"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","Pay-as-you-go","1 GB","4.6269","2018-02-01T00:00:00.000Z","0","4.6269"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","100","1/Day","393.6059","2019-11-01T00:00:00.000Z","85.0690","3.9361"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","200","1/Day","739.0152","2019-11-01T00:00:00.000Z","187.7532","3.6951"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","300","1/Day","1084.4245","2019-11-01T00:00:00.000Z","293.4764","3.6147"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","400","1/Day","1413.7682","2019-11-01T00:00:00.000Z","391.1163","3.5344"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","500","1/Day","1737.0873","2019-11-01T00:00:00.000Z","491.4801","3.4742"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","1000","1/Day","3413.9288","2021-06-01T00:00:00.000Z","982.6518","3.4139"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","2000","1/Day","6667.2022","2021-06-01T00:00:00.000Z","1952.9577","3.3336"
"2023-04-12T11:28:34.468Z","Azure Monitor","uksouth","NZD","5000","1/Day","16165.9571","2021-06-01T00:00:00.000Z","4849.3992","3.2332"
