"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","Pay-as-you-go","1 GB","285.4789","2018-02-01T00:00:00.000Z","0","285.4789"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","100","1/Day","22381.5438","2019-11-01T00:00:00.000Z","78.4","223.8154"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","200","1/Day","42022.4904","2019-11-01T00:00:00.000Z","187.7551","210.1125"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","300","1/Day","61663.437","2019-11-01T00:00:00.000Z","293.4782","205.5448"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","400","1/Day","80390.8512","2019-11-01T00:00:00.000Z","391.1111","200.9771"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","500","1/Day","98775.6908","2019-11-01T00:00:00.000Z","491.4773","197.5514"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","1000","1/Day","194125.635","2021-06-01T00:00:00.000Z","982.6589","194.1256"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","2000","1/Day","379115.946","2021-06-01T00:00:00.000Z","1952.9415","189.558"
"2023-03-29T13:50:58.330Z","Azure Monitor","westindia","INR","5000","1/Day","919241.9775","2021-06-01T00:00:00.000Z","4849.3969","183.8484"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","Pay-as-you-go","1 GB","284.0816","2018-02-01T00:00:00.000Z","0","284.0816"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","100","1/Day","22271.9994","2019-11-01T00:00:00.000Z","78.4","222.72"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","200","1/Day","41816.8152","2019-11-01T00:00:00.000Z","187.7551","209.0841"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","300","1/Day","61361.631","2019-11-01T00:00:00.000Z","293.4782","204.5388"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","400","1/Day","79997.3856","2019-11-01T00:00:00.000Z","391.1111","199.9935"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","500","1/Day","98292.2423","2019-11-01T00:00:00.000Z","491.4772","196.5845"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","1000","1/Day","193175.505","2021-06-01T00:00:00.000Z","982.6589","193.1755"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","2000","1/Day","377260.398","2021-06-01T00:00:00.000Z","1952.9412","188.6302"
"2023-04-12T11:28:34.468Z","Azure Monitor","westindia","INR","5000","1/Day","914742.8325","2021-06-01T00:00:00.000Z","4849.3976","182.9486"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","Pay-as-you-go","1 GB","282.1108","2018-02-01T00:00:00.000Z","0","282.1108"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","100","1/Day","22117.4877","2019-11-01T00:00:00.000Z","78.4000","221.1749"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","200","1/Day","41526.7116","2019-11-01T00:00:00.000Z","187.7551","207.6336"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","300","1/Day","60935.9355","2019-11-01T00:00:00.000Z","293.4782","203.1198"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","400","1/Day","79442.4048","2019-11-01T00:00:00.000Z","391.1111","198.6060"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","500","1/Day","97610.3411","2019-11-01T00:00:00.000Z","491.4773","195.2207"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","1000","1/Day","191835.3525","2021-06-01T00:00:00.000Z","982.6589","191.8354"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","2000","1/Day","374643.159","2021-06-01T00:00:00.000Z","1952.9407","187.3216"
"2023-05-02T06:07:40.927Z","Azure Monitor","westindia","INR","5000","1/Day","908396.8163","2021-06-01T00:00:00.000Z","4849.3971","181.6794"
