"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","Pay-as-you-go","1 GB","2.8364","2018-02-01T00:00:00.000Z","0","2.8364"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","100","1/Day","208.2436","2019-11-01T00:00:00.000Z","73.4183","2.0824"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","200","1/Day","390.988","2019-11-01T00:00:00.000Z","187.7584","1.9549"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","300","1/Day","573.7324","2019-11-01T00:00:00.000Z","293.4843","1.9124"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","400","1/Day","747.977","2019-11-01T00:00:00.000Z","391.1195","1.8699"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","500","1/Day","919.0343","2019-11-01T00:00:00.000Z","491.4885","1.8381"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","1000","1/Day","1806.1946","2021-06-01T00:00:00.000Z","982.6422","1.8062"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","2000","1/Day","3527.3917","2021-06-01T00:00:00.000Z","1952.9353","1.7637"
"2023-03-29T13:50:58.330Z","Azure Monitor","westus","EUR","5000","1/Day","8552.8625","2021-06-01T00:00:00.000Z","4849.3862","1.7106"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","Pay-as-you-go","1 GB","2.7606","2018-02-01T00:00:00.000Z","0","2.7606"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","100","1/Day","202.6775","2019-11-01T00:00:00.000Z","73.4179","2.0268"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","200","1/Day","380.5373","2019-11-01T00:00:00.000Z","187.7528","1.9027"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","300","1/Day","558.3972","2019-11-01T00:00:00.000Z","293.4762","1.8613"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","400","1/Day","727.9845","2019-11-01T00:00:00.000Z","391.1162","1.8200"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","500","1/Day","894.4696","2019-11-01T00:00:00.000Z","491.4668","1.7889"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","1000","1/Day","1757.9171","2021-06-01T00:00:00.000Z","982.6805","1.7579"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","2000","1/Day","3433.1087","2021-06-01T00:00:00.000Z","1952.9602","1.7166"
"2023-04-12T11:28:34.468Z","Azure Monitor","westus","EUR","5000","1/Day","8324.2545","2021-06-01T00:00:00.000Z","4849.2686","1.6649"
