"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1617","2018-02-01T00:00:00.000Z","0","2.1617"
"2023-04-12T13:28:34.468Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1149","2018-02-01T00:00:00.000Z","0","2.1149"
"2023-05-02T08:07:40.927Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.048","2018-02-01T00:00:00.000Z","0","2.048"
"2023-06-02T08:07:42.568Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0864","2018-02-01T00:00:00.000Z","0","2.0864"
"2023-07-07T06:09:02.036Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0639","2018-02-01T00:00:00.000Z","0","2.0639"
"2023-08-01T06:08:30.007Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","1.9986","2018-02-01T00:00:00.000Z","0","1.9986"
"2023-09-02T06:07:00.316Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0276","2018-02-01T00:00:00.000Z","0","2.0276"
"2023-10-02T06:08:46.154Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1157","2018-02-01T00:00:00.000Z","0","2.1157"
"2023-11-01T06:08:41.407Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0763","2018-02-01T00:00:00.000Z","0","2.0763"
"2023-12-02T06:07:58.693Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0202","2018-02-01T00:00:00.000Z","0","2.0202"
"2024-01-01T06:09:20.544Z","Azure Monitor","Global","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","1.9455","2018-02-01T00:00:00.000Z","0","1.9455"
