"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","208.2436","2022-04-01T02:00:00.000Z","0","2.0824"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","390.988","2022-04-01T02:00:00.000Z","187.7584","1.9549"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","573.7324","2022-04-01T02:00:00.000Z","293.4843","1.9124"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","747.977","2022-04-01T02:00:00.000Z","391.1195","1.8699"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","919.0343","2022-04-01T02:00:00.000Z","491.4885","1.8381"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1806.1946","2022-04-01T02:00:00.000Z","982.6422","1.8062"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3527.3917","2022-04-01T02:00:00.000Z","1952.9353","1.7637"
"2023-03-29T15:50:58.330Z","Azure Monitor","attdallas1","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","8552.8625","2022-04-01T02:00:00.000Z","4849.3862","1.7106"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","202.6775","2022-04-01T02:00:00.000Z","0","2.0268"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","380.5373","2022-04-01T02:00:00.000Z","187.7528","1.9027"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","558.3972","2022-04-01T02:00:00.000Z","293.4762","1.8613"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","727.9845","2022-04-01T02:00:00.000Z","391.1162","1.82"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","894.4696","2022-04-01T02:00:00.000Z","491.4668","1.7889"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1757.9171","2022-04-01T02:00:00.000Z","982.6805","1.7579"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3433.1087","2022-04-01T02:00:00.000Z","1952.9602","1.7166"
"2023-04-12T13:28:34.468Z","Azure Monitor","attdallas1","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","8324.2545","2022-04-01T02:00:00.000Z","4849.2686","1.6649"
"2023-05-02T08:07:40.927Z","Azure Monitor","attdallas1","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","198.7776","2022-04-01T02:00:00.000Z","0","1.9878"
