"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","254.508","2018-02-01T00:00:00.000Z","0","254.508"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","20909.28","2019-11-01T00:00:00.000Z","82.1557","209.0928"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","39258.24","2019-11-01T00:00:00.000Z","187.7551","196.2912"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","57607.2","2019-11-01T00:00:00.000Z","293.4783","192.024"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","75102.72","2019-11-01T00:00:00.000Z","391.1111","187.7568"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","92278.2","2019-11-01T00:00:00.000Z","491.4773","184.5564"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","181356","2021-06-01T02:00:00.000Z","982.659","181.356"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","354177.6","2021-06-01T02:00:00.000Z","1952.9412","177.0888"
"2023-03-29T15:50:58.330Z","Azure Monitor","australiasoutheast","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","858774","2021-06-01T02:00:00.000Z","4849.3976","171.7548"
"2023-04-12T13:28:34.468Z","Azure Monitor","australiasoutheast","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","258.015","2018-02-01T00:00:00.000Z","0","258.015"
"2023-04-12T13:28:34.468Z","Azure Monitor","australiasoutheast","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","21197.4","2019-11-01T00:00:00.000Z","82.1557","211.974"
"2023-04-12T13:28:34.468Z","Azure Monitor","australiasoutheast","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","39799.2","2019-11-01T00:00:00.000Z","187.7551","198.996"
"2023-04-12T13:28:34.468Z","Azure Monitor","australiasoutheast","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","58401","2019-11-01T00:00:00.000Z","293.4783","194.67"
