"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0183","2020-09-01T01:00:00.000Z","0","5.0183"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","427.6431","2020-10-01T01:00:00.000Z","85.2167","4.2764"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","802.9218","2020-10-01T01:00:00.000Z","187.7565","4.0146"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1178.2004","2020-10-01T01:00:00.000Z","293.4789","3.9273"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1536.0243","2020-10-01T01:00:00.000Z","391.1146","3.8401"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1887.3026","2020-10-01T01:00:00.000Z","491.4723","3.7746"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3709.1496","2021-06-01T01:00:00.000Z","982.6603","3.7091"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7243.7509","2021-06-01T01:00:00.000Z","1952.9673","3.6219"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17563.9141","2021-06-01T01:00:00.000Z","4849.3647","3.5128"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.8841","2020-09-01T01:00:00.000Z","0","4.8841"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","416.2127","2020-10-01T01:00:00.000Z","85.2179","4.1621"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","781.4606","2020-10-01T01:00:00.000Z","187.7563","3.9073"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1146.7085","2020-10-01T01:00:00.000Z","293.4785","3.8224"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1494.9681","2020-10-01T01:00:00.000Z","391.1072","3.7374"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1836.8572","2020-10-01T01:00:00.000Z","491.48","3.6737"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3610.0083","2021-06-01T01:00:00.000Z","982.6628","3.61"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7050.1339","2021-06-01T01:00:00.000Z","1952.9457","3.5251"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17094.4511","2021-06-01T01:00:00.000Z","4849.3521","3.4189"
"2023-05-02T07:07:40.927Z","Azure Monitor","brazilsoutheast","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.7901","2020-09-01T01:00:00.000Z","0","4.7901"
"2023-05-02T07:07:40.927Z","Azure Monitor","brazilsoutheast","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","408.2039","2020-10-01T01:00:00.000Z","85.2182","4.082"
"2023-05-02T07:07:40.927Z","Azure Monitor","brazilsoutheast","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","766.4237","2020-10-01T01:00:00.000Z","187.7569","3.8321"
"2023-05-02T07:07:40.927Z","Azure Monitor","brazilsoutheast","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","1124.6435","2020-10-01T01:00:00.000Z","293.4797","3.7488"
