"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","6902.1275","2020-09-01T01:00:00.000Z","0","6902.1275"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","588181.3","2020-10-01T01:00:00.000Z","85.2174","5881.813"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1104340.4","2020-10-01T01:00:00.000Z","187.7551","5521.702"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1620499.5","2020-10-01T01:00:00.000Z","293.4783","5401.665"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","2112651.2","2020-10-01T01:00:00.000Z","391.1111","5281.628"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2595800.125","2020-10-01T01:00:00.000Z","491.4773","5191.6002"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5101572.5","2021-06-01T01:00:00.000Z","982.659","5101.5725"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9963071","2021-06-01T01:00:00.000Z","1952.9412","4981.5355"
"2023-03-29T14:50:58.330Z","Azure Monitor","brazilsoutheast","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","24157446.25","2021-06-01T01:00:00.000Z","4849.3976","4831.4892"
"2023-04-12T12:28:34.468Z","Azure Monitor","brazilsoutheast","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","6891.0185","2020-09-01T01:00:00.000Z","0","6891.0185"
