"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.7876","2018-02-01T00:00:00.000Z","0","3.7876"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","285.5264","2019-11-01T00:00:00.000Z","75.3845","2.8553"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","536.0904","2019-11-01T00:00:00.000Z","187.7527","2.6805"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","786.6545","2019-11-01T00:00:00.000Z","293.473","2.6222"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1025.5643","2019-11-01T00:00:00.000Z","391.1083","2.5639"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1260.1039","2019-11-01T00:00:00.000Z","491.4793","2.5202"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2476.5048","2021-06-01T02:00:00.000Z","982.662","2.4765"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4836.4681","2021-06-01T02:00:00.000Z","1952.9449","2.4182"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11726.9784","2021-06-01T02:00:00.000Z","4849.4659","2.3454"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.7056","2018-02-01T00:00:00.000Z","0","3.7056"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","279.3441","2019-11-01T00:00:00.000Z","75.3843","2.7934"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","524.4828","2019-11-01T00:00:00.000Z","187.7579","2.6224"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","769.6215","2019-11-01T00:00:00.000Z","293.4798","2.5654"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1003.3584","2019-11-01T00:00:00.000Z","391.1119","2.5084"
