"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5258.1425","2018-02-01T00:00:00.000Z","0","5258.1425"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","396383.05","2019-11-01T00:00:00.000Z","75.3846","3963.8305"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","744229.4","2019-11-01T00:00:00.000Z","187.7551","3721.147"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1092075.75","2019-11-01T00:00:00.000Z","293.4783","3640.2525"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1423743.2","2019-11-01T00:00:00.000Z","391.1111","3559.358"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1749343.5625","2019-11-01T00:00:00.000Z","491.4773","3498.6871"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3438016.25","2021-06-01T02:00:00.000Z","982.659","3438.0162"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6714243.5","2021-06-01T02:00:00.000Z","1952.9412","3357.1218"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16280018.125","2021-06-01T02:00:00.000Z","4849.3975","3256.0036"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5249.6795","2018-02-01T00:00:00.000Z","0","5249.6795"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","395745.07","2019-11-01T00:00:00.000Z","75.3846","3957.4507"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","743031.56","2019-11-01T00:00:00.000Z","187.7551","3715.1578"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1090318.05","2019-11-01T00:00:00.000Z","293.4783","3634.3935"
