"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","122.7921","2018-02-01T00:00:00.000Z","0","122.7921"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","9256.6341","2019-11-01T00:00:00.000Z","75.3846","92.5663"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","17379.8028","2019-11-01T00:00:00.000Z","187.7552","86.899"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","25502.9715","2019-11-01T00:00:00.000Z","293.4783","85.0099"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","33248.3184","2019-11-01T00:00:00.000Z","391.1111","83.1208"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","40851.9821","2019-11-01T00:00:00.000Z","491.4772","81.704"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","80287.1325","2021-06-01T02:00:00.000Z","982.6585","80.2871"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","156796.047","2021-06-01T02:00:00.000Z","1952.942","78.398"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","380183.1862","2021-06-01T02:00:00.000Z","4849.399","76.0366"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","122.6591","2018-02-01T00:00:00.000Z","0","122.6591"
