"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.3116","2018-02-01T00:00:00.000Z","0","2.3116"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","164.1541","2019-11-01T00:00:00.000Z","71.0132","1.6415"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","308.2077","2019-11-01T00:00:00.000Z","187.7598","1.541"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","452.2613","2019-11-01T00:00:00.000Z","293.4856","1.5075"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","589.6147","2019-11-01T00:00:00.000Z","391.1209","1.474"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","724.4556","2019-11-01T00:00:00.000Z","491.4896","1.4489"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1423.7856","2021-06-01T02:00:00.000Z","982.6666","1.4238"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2780.5695","2021-06-01T02:00:00.000Z","1952.9214","1.3903"
"2023-03-29T15:50:58.330Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6742.0436","2021-06-01T02:00:00.000Z","4849.3445","1.3484"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.242","2018-02-01T00:00:00.000Z","0","2.242"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","159.2137","2019-11-01T00:00:00.000Z","71.0141","1.5921"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","298.9318","2019-11-01T00:00:00.000Z","187.7594","1.4947"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","438.6499","2019-11-01T00:00:00.000Z","293.4702","1.4622"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","571.8695","2019-11-01T00:00:00.000Z","391.1021","1.4297"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","702.6522","2019-11-01T00:00:00.000Z","491.4683","1.4053"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1380.935","2021-06-01T02:00:00.000Z","982.6621","1.3809"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2696.8848","2021-06-01T02:00:00.000Z","1952.9907","1.3484"
"2023-04-12T13:28:34.468Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6539.1333","2021-06-01T02:00:00.000Z","4849.5501","1.3078"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.2135","2018-02-01T00:00:00.000Z","0","2.2135"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","157.1898","2019-11-01T00:00:00.000Z","71.0141","1.5719"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","295.1319","2019-11-01T00:00:00.000Z","187.7549","1.4757"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","433.074","2019-11-01T00:00:00.000Z","293.4702","1.4436"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","564.6002","2019-11-01T00:00:00.000Z","391.1057","1.4115"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","693.7204","2019-11-01T00:00:00.000Z","491.4774","1.3874"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1363.3812","2021-06-01T02:00:00.000Z","982.6879","1.3634"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2662.6033","2021-06-01T02:00:00.000Z","1952.9143","1.3313"
"2023-05-02T08:07:40.927Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6456.0109","2021-06-01T02:00:00.000Z","4849.4035","1.2912"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.238","2018-02-01T00:00:00.000Z","0","2.238"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","158.9297","2019-11-01T00:00:00.000Z","71.0142","1.5893"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","298.3985","2019-11-01T00:00:00.000Z","187.7547","1.492"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","437.8674","2019-11-01T00:00:00.000Z","293.4768","1.4596"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","570.8494","2019-11-01T00:00:00.000Z","391.0999","1.4271"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","701.3987","2019-11-01T00:00:00.000Z","491.4853","1.4028"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1378.4715","2021-06-01T02:00:00.000Z","982.6572","1.3785"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2692.0738","2021-06-01T02:00:00.000Z","1952.9008","1.346"
"2023-06-02T08:07:42.568Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6527.4681","2021-06-01T02:00:00.000Z","4849.5305","1.3055"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1885","2018-02-01T00:00:00.000Z","0","2.1885"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","155.4137","2019-11-01T00:00:00.000Z","71.0138","1.5541"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","291.7972","2019-11-01T00:00:00.000Z","187.7596","1.459"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","428.1806","2019-11-01T00:00:00.000Z","293.4754","1.4273"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","558.2207","2019-11-01T00:00:00.000Z","391.1026","1.3956"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","685.8819","2019-11-01T00:00:00.000Z","491.4602","1.3718"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1347.9761","2021-06-01T00:00:00.000Z","982.6331","1.348"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2632.5179","2021-06-01T00:00:00.000Z","1952.9065","1.3163"
"2023-07-07T06:09:02.036Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6383.0631","2021-06-01T00:00:00.000Z","4849.2464","1.2766"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1482","2018-02-01T00:00:00.000Z","0","2.1482"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","152.5529","2019-11-01T00:00:00.000Z","71.0143","1.5255"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","420.2989","2019-11-01T00:00:00.000Z","288.0733","1.401"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","547.9452","2019-11-01T00:00:00.000Z","391.1101","1.3699"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","673.2565","2019-11-01T00:00:00.000Z","491.464","1.3465"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1323.1631","2021-06-01T00:00:00.000Z","982.6685","1.3232"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2584.0598","2021-06-01T00:00:00.000Z","1952.8868","1.292"
"2023-08-01T06:08:30.007Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6265.5666","2021-06-01T00:00:00.000Z","4849.5098","1.2531"
"2023-08-02T06:09:03.844Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","286.4259","2019-11-01T00:00:00.000Z","187.7587","1.4321"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1923","2018-02-01T00:00:00.000Z","0","2.1923"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","155.6853","2019-11-01T00:00:00.000Z","71.0146","1.5569"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","292.3071","2019-11-01T00:00:00.000Z","187.7494","1.4615"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","428.9289","2019-11-01T00:00:00.000Z","293.4854","1.4298"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","559.1962","2019-11-01T00:00:00.000Z","391.101","1.398"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","687.0805","2019-11-01T00:00:00.000Z","491.4739","1.3742"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1350.3316","2021-06-01T00:00:00.000Z","982.6311","1.3503"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2637.1182","2021-06-01T00:00:00.000Z","1952.9869","1.3186"
"2023-09-02T06:07:00.316Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6394.2174","2021-06-01T00:00:00.000Z","4849.2472","1.2788"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.2744","2018-02-01T00:00:00.000Z","0","2.2744"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","161.5163","2019-11-01T00:00:00.000Z","71.0149","1.6152"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","303.255","2019-11-01T00:00:00.000Z","187.7507","1.5163"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","444.9938","2019-11-01T00:00:00.000Z","293.4735","1.4833"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","580.1401","2019-11-01T00:00:00.000Z","391.1145","1.4504"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","712.8142","2019-11-01T00:00:00.000Z","491.4604","1.4256"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1400.9065","2021-06-01T00:00:00.000Z","982.6785","1.4009"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2735.8879","2021-06-01T00:00:00.000Z","1952.9502","1.3679"
"2023-10-02T06:08:46.154Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6633.7042","2021-06-01T00:00:00.000Z","4849.5535","1.3267"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.2726","2018-02-01T00:00:00.000Z","0","2.2726"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","161.3899","2019-11-01T00:00:00.000Z","71.0155","1.6139"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","303.0178","2019-11-01T00:00:00.000Z","187.755","1.5151"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","444.6457","2019-11-01T00:00:00.000Z","293.4761","1.4822"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","579.6863","2019-11-01T00:00:00.000Z","391.0986","1.4492"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","712.2566","2019-11-01T00:00:00.000Z","491.4826","1.4245"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1399.8106","2021-06-01T00:00:00.000Z","982.668","1.3998"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2733.7478","2021-06-01T00:00:00.000Z","1952.956","1.3669"
"2023-11-01T06:08:41.407Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6628.515","2021-06-01T00:00:00.000Z","4849.305","1.3257"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1762","2018-02-01T00:00:00.000Z","0","2.1762"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","154.5437","2019-11-01T00:00:00.000Z","71.0154","1.5454"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","290.1636","2019-11-01T00:00:00.000Z","187.7595","1.4508"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","425.7836","2019-11-01T00:00:00.000Z","293.4819","1.4193"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","555.0956","2019-11-01T00:00:00.000Z","391.1052","1.3877"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","682.0422","2019-11-01T00:00:00.000Z","491.4911","1.3641"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1340.4297","2021-06-01T00:00:00.000Z","982.6477","1.3404"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2617.7804","2021-06-01T00:00:00.000Z","1952.9845","1.3089"
"2023-12-02T06:07:58.693Z","Azure Monitor","eastus2","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6347.329","2021-06-01T00:00:00.000Z","4849.3613","1.2695"
"2024-01-02T06:08:37.104Z","Azure Monitor","eastus2","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1584","2018-02-01T00:00:00.000Z","0","2.1584"
