"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.3116","2018-02-01T00:00:00.000Z","0","2.3116"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","211.7588","2019-11-01T00:00:00.000Z","91.607","2.1176"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","397.5879","2019-11-01T00:00:00.000Z","187.754","1.9879"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","583.4171","2019-11-01T00:00:00.000Z","293.4841","1.9447"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","760.603","2019-11-01T00:00:00.000Z","391.1159","1.9015"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","934.5477","2019-11-01T00:00:00.000Z","491.4792","1.8691"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1836.6834","2021-06-01T02:00:00.000Z","982.6566","1.8367"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3586.9347","2021-06-01T02:00:00.000Z","1952.9236","1.7935"
"2023-03-29T15:50:58.330Z","Azure Monitor","francesouth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","8697.2362","2021-06-01T02:00:00.000Z","4849.3093","1.7394"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.242","2018-02-01T00:00:00.000Z","0","2.242"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","205.3856","2019-11-01T00:00:00.000Z","91.6082","2.0539"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","385.622","2019-11-01T00:00:00.000Z","187.7511","1.9281"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","565.8584","2019-11-01T00:00:00.000Z","293.4798","1.8862"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","737.7117","2019-11-01T00:00:00.000Z","391.11","1.8443"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","906.4213","2019-11-01T00:00:00.000Z","491.4717","1.8128"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1781.4061","2021-06-01T02:00:00.000Z","982.6821","1.7814"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3478.9814","2021-06-01T02:00:00.000Z","1952.9479","1.7395"
"2023-04-12T13:28:34.468Z","Azure Monitor","francesouth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","8435.4819","2021-06-01T02:00:00.000Z","4849.3716","1.6871"
