"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.2554","2019-09-01T02:00:00.000Z","0","3.2554"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","228.1742","2023-03-01T00:00:00.000Z","70.091","2.2817"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","428.4087","2023-03-01T00:00:00.000Z","187.7586","2.142"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","628.6432","2023-03-01T00:00:00.000Z","293.4842","2.0955"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","819.5645","2023-03-01T00:00:00.000Z","391.1069","2.0489"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","1006.9933","2023-03-01T00:00:00.000Z","491.48","2.014"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1979.062","2023-03-01T00:00:00.000Z","982.6524","1.9791"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3864.9916","2023-03-01T00:00:00.000Z","1952.9036","1.9325"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9371.4405","2023-03-01T00:00:00.000Z","4849.3871","1.8743"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1575","2019-09-01T02:00:00.000Z","0","3.1575"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","221.307","2023-03-01T00:00:00.000Z","70.0893","2.2131"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","415.5152","2023-03-01T00:00:00.000Z","187.7526","2.0776"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","609.7234","2023-03-01T00:00:00.000Z","293.4749","2.0324"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","794.8987","2023-03-01T00:00:00.000Z","391.1133","1.9872"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","976.6866","2023-03-01T00:00:00.000Z","491.4888","1.9534"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1919.4996","2023-03-01T00:00:00.000Z","982.6454","1.9195"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3748.6698","2023-03-01T00:00:00.000Z","1952.9408","1.8743"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9089.3952","2023-03-01T00:00:00.000Z","4849.4879","1.8179"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1173","2019-09-01T02:00:00.000Z","0","3.1173"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","218.4939","2023-03-01T00:00:00.000Z","70.0908","2.1849"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","410.2334","2023-03-01T00:00:00.000Z","187.7584","2.0512"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","601.9729","2023-03-01T00:00:00.000Z","293.4735","2.0066"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","784.7943","2023-03-01T00:00:00.000Z","391.1065","1.962"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","964.2714","2023-03-01T00:00:00.000Z","491.4737","1.9285"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1895.0998","2023-03-01T00:00:00.000Z","982.6807","1.8951"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3701.0185","2023-03-01T00:00:00.000Z","1952.941","1.8505"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","8973.8552","2023-03-01T00:00:00.000Z","4849.4219","1.7948"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1518","2019-09-01T02:00:00.000Z","0","3.1518"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","220.9122","2023-03-01T00:00:00.000Z","70.0908","2.2091"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","414.774","2023-03-01T00:00:00.000Z","187.757","2.0739"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","608.6357","2023-03-01T00:00:00.000Z","293.474","2.0288"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","793.4806","2023-03-01T00:00:00.000Z","391.1083","1.9837"
"2023-06-02T08:07:42.568Z","Azure Monitor","germanynorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","974.9443","2023-03-01T00:00:00.000Z","491.4777","1.9499"
