"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","296.1894","2019-09-01T02:00:00.000Z","0","296.1894"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","20759.928","2023-03-01T00:00:00.000Z","70.09","207.5993"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","38977.824","2023-03-01T00:00:00.000Z","187.7551","194.8891"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","57195.72","2023-03-01T00:00:00.000Z","293.4783","190.6524"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","74566.272","2023-03-01T00:00:00.000Z","391.1111","186.4157"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","91619.07","2023-03-01T00:00:00.000Z","491.4772","183.2381"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","180060.6","2023-03-01T00:00:00.000Z","982.6592","180.0606"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","351647.76","2023-03-01T00:00:00.000Z","1952.9412","175.8239"
"2023-03-29T15:50:58.330Z","Azure Monitor","germanynorth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","852639.9","2023-03-01T00:00:00.000Z","4849.397","170.528"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","300.2708","2019-09-01T02:00:00.000Z","0","300.2708"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","21045.99","2023-03-01T00:00:00.000Z","70.09","210.4599"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","39514.92","2023-03-01T00:00:00.000Z","187.7551","197.5746"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","57983.85","2023-03-01T00:00:00.000Z","293.4783","193.2795"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","75593.76","2023-03-01T00:00:00.000Z","391.1111","188.9844"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","92881.5375","2023-03-01T00:00:00.000Z","491.4773","185.7631"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","182541.75","2023-03-01T00:00:00.000Z","982.6588","182.5418"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","356493.3","2023-03-01T00:00:00.000Z","1952.9406","178.2466"
"2023-04-12T13:28:34.468Z","Azure Monitor","germanynorth","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","864388.875","2023-03-01T00:00:00.000Z","4849.399","172.8778"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","321.6493","2019-09-01T02:00:00.000Z","0","321.6493"
"2023-05-02T08:07:40.927Z","Azure Monitor","germanynorth","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","22544.41","2023-03-01T00:00:00.000Z","70.09","225.4441"
