"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.3416","2023-08-15T00:00:00.000Z","0","4.3416"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","333.6603","2023-08-15T00:00:00.000Z","76.8519","3.3366"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","626.4642","2023-08-15T00:00:00.000Z","187.7553","3.1323"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","919.2682","2023-08-15T00:00:00.000Z","293.4803","3.0642"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1198.4533","2023-08-15T00:00:00.000Z","391.1146","2.9961"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1472.5315","2023-08-15T00:00:00.000Z","491.4828","2.9451"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2893.9924","2023-08-15T00:00:00.000Z","982.6466","2.894"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5651.797","2023-08-15T00:00:00.000Z","1952.9361","2.8259"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13703.9054","2023-08-15T00:00:00.000Z","4849.395","2.7408"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.4746","2023-08-15T00:00:00.000Z","0","4.4746"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","343.875","2023-08-15T00:00:00.000Z","76.8504","3.4388"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","645.6429","2023-08-15T00:00:00.000Z","187.7524","3.2282"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","947.4108","2023-08-15T00:00:00.000Z","293.4796","3.1580"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1235.143","2023-08-15T00:00:00.000Z","391.1156","3.0879"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1517.6118","2023-08-15T00:00:00.000Z","491.4705","3.0352"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2982.5896","2023-08-15T00:00:00.000Z","982.6666","2.9826"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5824.8221","2023-08-15T00:00:00.000Z","1952.9344","2.9124"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14123.4392","2023-08-15T00:00:00.000Z","4849.4160","2.8247"
