"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","33.3116","2023-08-15T00:00:00.000Z","0","33.3116"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2560.0303","2023-08-15T00:00:00.000Z","76.851","25.6003"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4806.5875","2023-08-15T00:00:00.000Z","187.7551","24.0329"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7053.1447","2023-08-15T00:00:00.000Z","293.4787","23.5105"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9195.2108","2023-08-15T00:00:00.000Z","391.1108","22.988"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11298.0928","2023-08-15T00:00:00.000Z","491.4778","22.5962"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22204.3443","2023-08-15T00:00:00.000Z","982.6583","22.2043"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","43363.7783","2023-08-15T00:00:00.000Z","1952.9451","21.6819"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","105144.1009","2023-08-15T00:00:00.000Z","4849.3952","21.0288"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","35.1239","2023-08-15T00:00:00.000Z","0","35.1239"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2699.3072","2023-08-15T00:00:00.000Z","76.851","26.9931"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5068.087","2023-08-15T00:00:00.000Z","187.7549","25.3404"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7436.8668","2023-08-15T00:00:00.000Z","293.4787","24.7896"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9695.4708","2023-08-15T00:00:00.000Z","391.1104","24.2387"
