"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","14.9777","2023-06-27T02:00:00.000Z","0","14.9777"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1266.5388","2023-06-27T02:00:00.000Z","84.5616","12.6654"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2377.9912","2023-06-27T02:00:00.000Z","187.7549","11.89"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3489.4436","2023-06-27T02:00:00.000Z","293.4772","11.6315"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4549.2005","2023-06-27T02:00:00.000Z","391.1104","11.373"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5589.5716","2023-06-27T02:00:00.000Z","491.4773","11.1791"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10985.2853","2023-06-27T02:00:00.000Z","982.6628","10.9853"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","21453.6159","2023-06-27T02:00:00.000Z","1952.9386","10.7268"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","52018.5566","2023-06-27T02:00:00.000Z","4849.4012","10.4037"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","14.5205","2023-06-27T00:00:00.000Z","0","14.5205"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1227.8795","2023-06-27T00:00:00.000Z","84.5618","12.2788"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2305.4065","2023-06-27T00:00:00.000Z","187.7550","11.5270"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3382.9334","2023-06-27T00:00:00.000Z","293.4791","11.2764"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4410.3428","2023-06-27T00:00:00.000Z","391.1127","11.0259"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5418.9581","2023-06-27T00:00:00.000Z","491.4754","10.8379"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10649.9756","2023-06-27T00:00:00.000Z","982.6604","10.6500"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20798.7758","2023-06-27T00:00:00.000Z","1952.9367","10.3994"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","50430.7666","2023-06-27T00:00:00.000Z","4849.3919","10.0862"
