"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.9491","2023-06-27T02:00:00.000Z","0","4.9491"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","418.5053","2023-06-27T02:00:00.000Z","84.5619","4.1851"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","785.7651","2023-06-27T02:00:00.000Z","187.753","3.9288"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1153.0249","2023-06-27T02:00:00.000Z","293.4802","3.8434"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1503.2028","2023-06-27T02:00:00.000Z","391.1128","3.758"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1846.9751","2023-06-27T02:00:00.000Z","491.4782","3.694"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3629.8932","2023-06-27T02:00:00.000Z","982.6457","3.6299"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7088.968","2023-06-27T02:00:00.000Z","1952.9375","3.5445"
"2023-06-28T08:09:29.480Z","Azure Monitor","italynorth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17188.6121","2023-06-27T02:00:00.000Z","4849.3757","3.4377"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.9182","2023-06-27T00:00:00.000Z","0","4.9182"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","415.8895","2023-06-27T00:00:00.000Z","84.5613","4.1589"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","780.8537","2023-06-27T00:00:00.000Z","187.7549","3.9043"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1145.8179","2023-06-27T00:00:00.000Z","293.4759","3.8194"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1493.8071","2023-06-27T00:00:00.000Z","391.1104","3.7345"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1835.4305","2023-06-27T00:00:00.000Z","491.4796","3.6709"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3607.2045","2023-06-27T00:00:00.000Z","982.6485","3.6072"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7044.6583","2023-06-27T00:00:00.000Z","1952.9436","3.5223"
"2023-07-07T06:09:02.036Z","Azure Monitor","italynorth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17081.1744","2023-06-27T00:00:00.000Z","4849.4377","3.4162"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.8261","2023-06-27T00:00:00.000Z","0","4.8261"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","408.1027","2023-06-27T00:00:00.000Z","84.5616","4.081"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","766.2336","2023-06-27T00:00:00.000Z","187.7563","3.8312"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1124.3645","2023-06-27T00:00:00.000Z","293.4758","3.7479"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1465.8381","2023-06-27T00:00:00.000Z","391.1092","3.6646"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1801.0653","2023-06-27T00:00:00.000Z","491.4766","3.6021"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3539.6659","2023-06-27T00:00:00.000Z","982.6673","3.5397"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6912.7593","2023-06-27T00:00:00.000Z","1952.9224","3.4564"
"2023-08-01T06:08:30.007Z","Azure Monitor","italynorth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16761.3591","2023-06-27T00:00:00.000Z","4849.369","3.3523"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0375","2023-06-27T00:00:00.000Z","0","5.0375"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","425.9793","2023-06-27T00:00:00.000Z","84.5616","4.2598"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","799.7978","2023-06-27T00:00:00.000Z","187.7548","3.999"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1173.6164","2023-06-27T00:00:00.000Z","293.4775","3.9121"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1530.048","2023-06-27T00:00:00.000Z","391.1066","3.8251"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1879.9596","2023-06-27T00:00:00.000Z","491.4799","3.7599"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3694.7182","2023-06-27T00:00:00.000Z","982.664","3.6947"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7215.5673","2023-06-27T00:00:00.000Z","1952.9508","3.6078"
"2023-09-02T06:07:00.316Z","Azure Monitor","italynorth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17495.5775","2023-06-27T00:00:00.000Z","4849.3757","3.4991"
"2023-10-02T06:08:46.154Z","Azure Monitor","italynorth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0349","2023-06-27T00:00:00.000Z","0","5.0349"
