"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","276.3767","2018-02-01T00:00:00.000Z","0","276.3767"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","23516.8395","2019-11-01T00:00:00.000Z","85.0898","235.1684"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","44154.066","2019-11-01T00:00:00.000Z","187.7551","220.7703"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","64791.2925","2019-11-01T00:00:00.000Z","293.4783","215.971"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","84468.648","2019-11-01T00:00:00.000Z","391.1111","211.1716"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","103786.0519","2019-11-01T00:00:00.000Z","491.4773","207.5721"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","203972.5875","2021-06-01T02:00:00.000Z","982.659","203.9726"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","398346.465","2021-06-01T02:00:00.000Z","1952.9411","199.1732"
"2023-03-29T15:50:58.330Z","Azure Monitor","japaneast","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","965870.1938","2021-06-01T02:00:00.000Z","4849.3984","193.174"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","275.024","2018-02-01T00:00:00.000Z","0","275.024"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","23401.7385","2019-11-01T00:00:00.000Z","85.0898","234.0174"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","43937.958","2019-11-01T00:00:00.000Z","187.7551","219.6898"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","64474.1775","2019-11-01T00:00:00.000Z","293.4782","214.9139"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","84055.224","2019-11-01T00:00:00.000Z","391.1112","210.1381"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","103278.0806","2019-11-01T00:00:00.000Z","491.4772","206.5562"
"2023-04-12T13:28:34.468Z","Azure Monitor","japaneast","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","202974.2625","2021-06-01T02:00:00.000Z","982.6588","202.9743"
