"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","37.1801","2018-02-01T00:00:00.000Z","0","37.1801"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3163.9555","2019-11-01T00:00:00.000Z","85.0981","31.6396"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5940.4878","2019-11-01T00:00:00.000Z","187.7548","29.7024"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8717.0202","2019-11-01T00:00:00.000Z","293.4786","29.0567"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","11364.4115","2019-11-01T00:00:00.000Z","391.1116","28.411"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","13963.375","2019-11-01T00:00:00.000Z","491.4778","27.9268"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","27442.471","2021-06-01T02:00:00.000Z","982.6572","27.4425"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","53593.5316","2021-06-01T02:00:00.000Z","1952.9391","26.7968"
"2023-03-29T15:50:58.330Z","Azure Monitor","japanwest","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","129948.1715","2021-06-01T02:00:00.000Z","4849.3914","25.9896"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","37.2146","2018-02-01T00:00:00.000Z","0","37.2146"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3166.8872","2019-11-01T00:00:00.000Z","85.098","31.6689"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5945.9922","2019-11-01T00:00:00.000Z","187.7549","29.73"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8725.0973","2019-11-01T00:00:00.000Z","293.4779","29.0837"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","11374.9416","2019-11-01T00:00:00.000Z","391.1105","28.4374"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","13976.3132","2019-11-01T00:00:00.000Z","491.4765","27.9526"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","27467.8988","2021-06-01T02:00:00.000Z","982.6599","27.4679"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","53643.1905","2021-06-01T02:00:00.000Z","1952.9411","26.8216"
"2023-04-12T13:28:34.468Z","Azure Monitor","japanwest","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","130068.5794","2021-06-01T02:00:00.000Z","4849.3967","26.0137"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","37.9207","2018-02-01T00:00:00.000Z","0","37.9207"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3226.9788","2019-11-01T00:00:00.000Z","85.0981","32.2698"
"2023-05-02T08:07:40.927Z","Azure Monitor","japanwest","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","6058.8173","2019-11-01T00:00:00.000Z","187.755","30.2941"
