"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4201.295","2021-04-15T02:00:00.000Z","0","4201.295"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","358023.4","2021-04-15T02:00:00.000Z","85.2174","3580.234"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","672207.2","2021-04-15T02:00:00.000Z","187.7551","3361.036"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","986391","2021-04-15T02:00:00.000Z","293.4783","3287.97"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1285961.6","2021-04-15T02:00:00.000Z","391.1111","3214.904"
"2023-03-29T15:50:58.330Z","Azure Monitor","jioindiawest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1580052.25","2021-04-15T02:00:00.000Z","491.4773","3160.1045"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4194.533","2021-04-15T02:00:00.000Z","0","4194.533"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","357447.16","2021-04-15T02:00:00.000Z","85.2174","3574.4716"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","671125.28","2021-04-15T02:00:00.000Z","187.7551","3355.6264"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","984803.4","2021-04-15T02:00:00.000Z","293.4783","3282.678"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1283891.84","2021-04-15T02:00:00.000Z","391.1111","3209.7296"
"2023-04-12T13:28:34.468Z","Azure Monitor","jioindiawest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1577509.15","2021-04-15T02:00:00.000Z","491.4773","3155.0183"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4303.047","2021-04-15T02:00:00.000Z","0","4303.047"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","366694.44","2021-04-15T02:00:00.000Z","85.2174","3666.9444"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","688487.52","2021-04-15T02:00:00.000Z","187.7551","3442.4376"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1010280.6","2021-04-15T02:00:00.000Z","293.4783","3367.602"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1317106.56","2021-04-15T02:00:00.000Z","391.1111","3292.7664"
"2023-05-02T08:07:40.927Z","Azure Monitor","jioindiawest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1618319.85","2021-04-15T02:00:00.000Z","491.4773","3236.6397"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4264.729","2021-04-15T02:00:00.000Z","0","4264.729"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","363429.08","2021-04-15T02:00:00.000Z","85.2174","3634.2908"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","682356.64","2021-04-15T02:00:00.000Z","187.7551","3411.7832"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1001284.2","2021-04-15T02:00:00.000Z","293.4783","3337.614"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1305377.92","2021-04-15T02:00:00.000Z","391.1111","3263.4448"
"2023-06-02T08:07:42.568Z","Azure Monitor","jioindiawest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1603908.95","2021-04-15T02:00:00.000Z","491.4773","3207.8179"
"2023-07-07T06:09:02.036Z","Azure Monitor","jioindiawest","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4209.345","2021-04-15T00:00:00.000Z","0","4209.345"
