"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0508","2018-02-01T00:00:00.000Z","0","5.0508"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","397.8888","2019-11-01T00:00:00.000Z","78.7774","3.9789"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","747.0564","2019-11-01T00:00:00.000Z","187.7545","3.7353"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1096.2241","2019-11-01T00:00:00.000Z","293.4769","3.6541"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1429.1514","2019-11-01T00:00:00.000Z","391.109","3.5729"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1755.9886","2019-11-01T00:00:00.000Z","491.4743","3.512"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3451.0759","2021-06-01T02:00:00.000Z","982.6526","3.4511"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6739.7483","2021-06-01T02:00:00.000Z","1952.9276","3.3699"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16341.8595","2021-06-01T02:00:00.000Z","4849.3604","3.2684"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.9964","2018-02-01T00:00:00.000Z","0","4.9964"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","393.6059","2019-11-01T00:00:00.000Z","78.7779","3.9361"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","739.0152","2019-11-01T00:00:00.000Z","187.7532","3.6951"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1084.4245","2019-11-01T00:00:00.000Z","293.4764","3.6147"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1413.7682","2019-11-01T00:00:00.000Z","391.1163","3.5344"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1737.0873","2019-11-01T00:00:00.000Z","491.4801","3.4742"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3413.9288","2021-06-01T02:00:00.000Z","982.6518","3.4139"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6667.2022","2021-06-01T02:00:00.000Z","1952.9577","3.3336"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16165.9571","2021-06-01T02:00:00.000Z","4849.3992","3.2332"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0755","2018-02-01T00:00:00.000Z","0","5.0755"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","399.8368","2019-11-01T00:00:00.000Z","78.7778","3.9984"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","750.714","2019-11-01T00:00:00.000Z","187.7536","3.7536"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1101.5912","2019-11-01T00:00:00.000Z","293.4759","3.672"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1436.1485","2019-11-01T00:00:00.000Z","391.108","3.5904"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1764.5859","2019-11-01T00:00:00.000Z","491.4733","3.5292"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3467.9723","2021-06-01T02:00:00.000Z","982.6511","3.468"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6772.7458","2021-06-01T02:00:00.000Z","1952.9255","3.3864"
"2023-05-02T08:07:40.927Z","Azure Monitor","koreasouth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16421.8686","2021-06-01T02:00:00.000Z","4849.3588","3.2844"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.1477","2018-02-01T00:00:00.000Z","0","5.1477"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","405.5284","2019-11-01T00:00:00.000Z","78.7786","4.0553"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","761.4003","2019-11-01T00:00:00.000Z","187.7544","3.807"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1117.2722","2019-11-01T00:00:00.000Z","293.4784","3.7242"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1456.5919","2019-11-01T00:00:00.000Z","391.1154","3.6415"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1789.7045","2019-11-01T00:00:00.000Z","491.4745","3.5794"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3517.3384","2021-06-01T02:00:00.000Z","982.6615","3.5173"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6869.155","2021-06-01T02:00:00.000Z","1952.9625","3.4346"
"2023-06-02T08:07:42.568Z","Azure Monitor","koreasouth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16655.6319","2021-06-01T02:00:00.000Z","4849.3658","3.3311"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.1156","2018-02-01T00:00:00.000Z","0","5.1156"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","402.9937","2019-11-01T00:00:00.000Z","78.7774","4.0299"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","756.6412","2019-11-01T00:00:00.000Z","187.7568","3.7832"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1110.2887","2019-11-01T00:00:00.000Z","293.4787","3.701"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1447.4875","2019-11-01T00:00:00.000Z","391.1071","3.6187"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1778.518","2019-11-01T00:00:00.000Z","491.4798","3.557"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3495.3532","2021-06-01T00:00:00.000Z","982.6689","3.4954"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6826.2193","2021-06-01T00:00:00.000Z","1952.9151","3.4131"
"2023-07-07T06:09:02.036Z","Azure Monitor","koreasouth","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16551.5256","2021-06-01T00:00:00.000Z","4849.4113","3.3103"
"2023-08-01T06:08:30.007Z","Azure Monitor","koreasouth","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.0198","2018-02-01T00:00:00.000Z","0","5.0198"
"2023-08-01T06:08:30.007Z","Azure Monitor","koreasouth","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","395.4483","2019-11-01T00:00:00.000Z","78.7777","3.9545"
"2023-08-01T06:08:30.007Z","Azure Monitor","koreasouth","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","742.4744","2019-11-01T00:00:00.000Z","187.7543","3.7124"
