"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","227.0675","2024-02-01T00:00:00.000Z","0","227.0675"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","19350.1","2024-02-01T00:00:00.000Z","85.2174","193.501"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","36330.8","2024-02-01T00:00:00.000Z","187.7551","181.654"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","53311.5","2024-02-01T00:00:00.000Z","293.4783","177.705"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","69502.4","2024-02-01T00:00:00.000Z","391.1111","173.756"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","85397.125","2024-02-01T00:00:00.000Z","491.4773","170.7942"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","167832.5","2024-02-01T00:00:00.000Z","982.6592","167.8325"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","327767","2024-02-01T00:00:00.000Z","1952.9412","163.8835"
"2024-02-02T06:08:03.849Z","Azure Monitor","mexicocentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","794736.25","2024-02-01T00:00:00.000Z","4849.3976","158.9472"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","232.254","2024-02-01T00:00:00.000Z","0","232.254"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","19792.08","2024-02-01T00:00:00.000Z","85.2174","197.9208"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","37160.64","2024-02-01T00:00:00.000Z","187.7551","185.8032"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","54529.2","2024-02-01T00:00:00.000Z","293.4783","181.764"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","71089.92","2024-02-01T00:00:00.000Z","391.1111","177.7248"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","87347.7","2024-02-01T00:00:00.000Z","491.4773","174.6954"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","171666","2024-02-01T00:00:00.000Z","982.659","171.666"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","335253.6","2024-02-01T00:00:00.000Z","1952.9412","167.6268"
"2024-03-02T06:08:20.311Z","Azure Monitor","mexicocentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","812889","2024-02-01T00:00:00.000Z","4849.3976","162.5778"
"2024-04-03T09:26:28.723Z","Azure Monitor","mexicocentral","RUB","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","235.1002","2024-02-01T00:00:00.000Z","0","235.1002"
"2024-04-03T09:26:28.723Z","Azure Monitor","mexicocentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","20034.63","2024-02-01T00:00:00.000Z","85.2174","200.3463"
"2024-04-03T09:26:28.723Z","Azure Monitor","mexicocentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","37616.04","2024-02-01T00:00:00.000Z","187.7551","188.0802"
