"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","14.337","2018-02-01T00:00:00.000Z","0","14.337"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1221.7582","2019-11-01T00:00:00.000Z","85.2171","12.2176"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2293.9133","2019-11-01T00:00:00.000Z","187.7548","11.4696"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3366.0684","2019-11-01T00:00:00.000Z","293.4774","11.2202"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4388.3558","2019-11-01T00:00:00.000Z","391.1121","10.9709"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5391.9429","2019-11-01T00:00:00.000Z","491.4768","10.7839"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10596.882","2021-06-01T02:00:00.000Z","982.6577","10.5969"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20695.0872","2021-06-01T02:00:00.000Z","1952.9379","10.3475"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","50179.353","2021-06-01T02:00:00.000Z","4849.418","10.0359"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","14.2067","2018-02-01T00:00:00.000Z","0","14.2067"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1210.6567","2019-11-01T00:00:00.000Z","85.2173","12.1066"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2273.0698","2019-11-01T00:00:00.000Z","187.7546","11.3653"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3335.4828","2019-11-01T00:00:00.000Z","293.4795","11.1183"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4348.4813","2019-11-01T00:00:00.000Z","391.1103","10.8712"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5342.9493","2019-11-01T00:00:00.000Z","491.4774","10.6859"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10500.594","2021-06-01T02:00:00.000Z","982.6588","10.5006"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20507.0424","2021-06-01T02:00:00.000Z","1952.9401","10.2535"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","49723.401","2021-06-01T02:00:00.000Z","4849.4076","9.9447"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.9405","2018-02-01T00:00:00.000Z","0","13.9405"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1187.9717","2019-11-01T00:00:00.000Z","85.2173","11.8797"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2230.4774","2019-11-01T00:00:00.000Z","187.7554","11.1524"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3272.9832","2019-11-01T00:00:00.000Z","293.4779","10.9099"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4267.0003","2019-11-01T00:00:00.000Z","391.1127","10.6675"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5242.8342","2019-11-01T00:00:00.000Z","491.4773","10.4857"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10303.836","2021-06-01T02:00:00.000Z","982.656","10.3038"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20122.7856","2021-06-01T02:00:00.000Z","1952.948","10.0614"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","48791.694","2021-06-01T02:00:00.000Z","4849.3941","9.7583"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.8255","2018-02-01T00:00:00.000Z","0","13.8255"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1178.1756","2019-11-01T00:00:00.000Z","85.2176","11.7818"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2212.0848","2019-11-01T00:00:00.000Z","187.7544","11.0604"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3245.994","2019-11-01T00:00:00.000Z","293.4789","10.82"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4231.8144","2019-11-01T00:00:00.000Z","391.1104","10.5795"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5199.6015","2019-11-01T00:00:00.000Z","491.4789","10.3992"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10218.87","2021-06-01T02:00:00.000Z","982.6592","10.2189"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","19956.852","2021-06-01T02:00:00.000Z","1952.9354","9.9784"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","48389.355","2021-06-01T02:00:00.000Z","4849.4102","9.6779"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.4035","2018-02-01T00:00:00.000Z","0","13.4035"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1142.2135","2019-11-01T00:00:00.000Z","85.2176","11.4221"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2144.5642","2019-11-01T00:00:00.000Z","187.7557","10.7228"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3146.9148","2019-11-01T00:00:00.000Z","293.4788","10.4897"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4102.6445","2019-11-01T00:00:00.000Z","391.1117","10.2566"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5040.8913","2019-11-01T00:00:00.000Z","491.4778","10.0818"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9906.954","2021-06-01T00:00:00.000Z","982.6573","9.907"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","19347.6984","2021-06-01T00:00:00.000Z","1952.9321","9.6738"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","46912.341","2021-06-01T00:00:00.000Z","4849.4223","9.3825"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.0563","2018-02-01T00:00:00.000Z","0","13.0563"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2089.0109","2019-11-01T00:00:00.000Z","182.892","10.4451"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3065.3964","2019-11-01T00:00:00.000Z","293.477","10.218"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","3996.3686","2019-11-01T00:00:00.000Z","391.1106","9.9909"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","18846.5112","2021-06-01T00:00:00.000Z","1902.3429","9.4233"
"2023-08-01T06:08:30.007Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","45697.113","2021-06-01T00:00:00.000Z","4849.3747","9.1394"
"2023-08-02T06:09:03.844Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1112.6254","2019-11-01T00:00:00.000Z","85.2175","11.1263"
"2023-08-02T06:09:03.844Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","4910.3109","2019-11-01T00:00:00.000Z","491.4783","9.8206"
"2023-08-02T06:09:03.844Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9650.322","2021-06-01T00:00:00.000Z","982.6611","9.6503"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.4518","2018-02-01T00:00:00.000Z","0","13.4518"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1146.3295","2019-11-01T00:00:00.000Z","85.2176","11.4633"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2152.2922","2019-11-01T00:00:00.000Z","187.755","10.7615"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3158.2548","2019-11-01T00:00:00.000Z","293.4772","10.5275"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4117.4285","2019-11-01T00:00:00.000Z","391.1117","10.2936"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5059.0563","2019-11-01T00:00:00.000Z","491.4759","10.1181"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","9942.654","2021-06-01T00:00:00.000Z","982.6602","9.9427"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","19417.4184","2021-06-01T00:00:00.000Z","1952.9321","9.7087"
"2023-09-02T06:07:00.316Z","Azure Monitor","northeurope","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47081.391","2021-06-01T00:00:00.000Z","4849.4022","9.4163"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","13.8803","2018-02-01T00:00:00.000Z","0","13.8803"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1182.8443","2019-11-01T00:00:00.000Z","85.2175","11.8284"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2220.8506","2019-11-01T00:00:00.000Z","187.7558","11.1043"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3258.8568","2019-11-01T00:00:00.000Z","293.477","10.8629"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4248.5837","2019-11-01T00:00:00.000Z","391.1095","10.6215"
"2023-10-02T06:08:46.154Z","Azure Monitor","northeurope","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5220.2058","2019-11-01T00:00:00.000Z","491.4754","10.4404"
