"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","17.4537","2019-08-01T02:00:00.000Z","0","17.4537"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1313.39","2019-11-01T00:00:00.000Z","75.2499","13.1339"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2465.9568","2019-11-01T00:00:00.000Z","187.7551","12.3298"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3618.5235","2019-11-01T00:00:00.000Z","293.4779","12.0617"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4717.4825","2019-11-01T00:00:00.000Z","391.1126","11.7937"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5796.3386","2019-11-01T00:00:00.000Z","491.4775","11.5927"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","11391.6482","2021-06-01T02:00:00.000Z","982.657","11.3916"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","22247.2187","2021-06-01T02:00:00.000Z","1952.9494","11.1236"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricanorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","53942.8045","2021-06-01T02:00:00.000Z","4849.4017","10.7886"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","17.2951","2019-08-01T02:00:00.000Z","0","17.2951"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1301.456","2019-11-01T00:00:00.000Z","75.25","13.0146"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2443.55","2019-11-01T00:00:00.000Z","187.7545","12.2178"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3585.644","2019-11-01T00:00:00.000Z","293.4771","11.9521"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4674.6174","2019-11-01T00:00:00.000Z","391.1126","11.6865"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5743.6705","2019-11-01T00:00:00.000Z","491.4791","11.4873"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","11288.1385","2021-06-01T02:00:00.000Z","982.6625","11.2881"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","22045.0706","2021-06-01T02:00:00.000Z","1952.9478","11.0225"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricanorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","53452.6561","2021-06-01T02:00:00.000Z","4849.4131","10.6905"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","16.971","2019-08-01T02:00:00.000Z","0","16.971"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1277.0696","2019-11-01T00:00:00.000Z","75.2501","12.7707"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2397.7632","2019-11-01T00:00:00.000Z","187.755","11.9888"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3518.4569","2019-11-01T00:00:00.000Z","293.4787","11.7282"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4587.0253","2019-11-01T00:00:00.000Z","391.1108","11.4676"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5636.0468","2019-11-01T00:00:00.000Z","491.4757","11.2721"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","11076.6237","2021-06-01T02:00:00.000Z","982.6584","11.0766"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","21631.9945","2021-06-01T02:00:00.000Z","1952.9454","10.816"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricanorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","52451.071","2021-06-01T02:00:00.000Z","4849.3964","10.4902"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","16.8311","2019-08-01T02:00:00.000Z","0","16.8311"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1266.5388","2019-11-01T00:00:00.000Z","75.2499","12.6654"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","2377.9912","2019-11-01T00:00:00.000Z","187.7549","11.89"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","3489.4436","2019-11-01T00:00:00.000Z","293.4772","11.6315"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","4549.2005","2019-11-01T00:00:00.000Z","391.1104","11.373"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","5589.5716","2019-11-01T00:00:00.000Z","491.4773","11.1791"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricanorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10985.2853","2021-06-01T02:00:00.000Z","982.6628","10.9853"
