"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.4586","2020-10-01T02:00:00.000Z","0","3.4586"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","294.737","2020-10-01T02:00:00.000Z","85.2186","2.9474"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","553.3837","2020-10-01T02:00:00.000Z","187.7532","2.7669"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","812.0304","2020-10-01T02:00:00.000Z","293.4802","2.7068"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1058.647","2020-10-01T02:00:00.000Z","391.1065","2.6466"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1300.7524","2020-10-01T02:00:00.000Z","491.4805","2.6015"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2556.392","2021-06-01T02:00:00.000Z","982.6608","2.5564"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4992.4832","2021-06-01T02:00:00.000Z","1952.9351","2.4962"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12105.268","2021-06-01T02:00:00.000Z","4849.4784","2.4211"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.3838","2020-10-01T02:00:00.000Z","0","3.3838"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","288.3552","2020-10-01T02:00:00.000Z","85.2164","2.8836"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","541.4016","2020-10-01T02:00:00.000Z","187.752","2.707"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","794.448","2020-10-01T02:00:00.000Z","293.4791","2.6482"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1035.7248","2020-10-01T02:00:00.000Z","391.1052","2.5893"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1272.588","2020-10-01T02:00:00.000Z","491.4796","2.5452"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2501.04","2021-06-01T02:00:00.000Z","982.6497","2.501"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4884.384","2021-06-01T02:00:00.000Z","1952.9724","2.4422"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11843.16","2021-06-01T02:00:00.000Z","4849.3817","2.3686"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.2769","2020-10-01T02:00:00.000Z","0","3.2769"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","279.2451","2020-10-01T02:00:00.000Z","85.2162","2.7925"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","524.297","2020-10-01T02:00:00.000Z","187.7518","2.6215"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","769.3488","2020-10-01T02:00:00.000Z","293.4766","2.5645"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1003.0029","2020-10-01T02:00:00.000Z","391.1105","2.5075"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1232.3828","2020-10-01T02:00:00.000Z","491.4787","2.4648"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2422.024","2021-06-01T02:00:00.000Z","982.6452","2.422"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4730.0704","2021-06-01T02:00:00.000Z","1952.9605","2.365"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11468.996","2021-06-01T02:00:00.000Z","4849.4698","2.2938"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.3383","2020-10-01T02:00:00.000Z","0","3.3383"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","284.4822","2020-10-01T02:00:00.000Z","85.2177","2.8448"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","534.1299","2020-10-01T02:00:00.000Z","187.7566","2.6706"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","783.7776","2020-10-01T02:00:00.000Z","293.4837","2.6126"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1021.8138","2020-10-01T02:00:00.000Z","391.1099","2.5545"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1255.4956","2020-10-01T02:00:00.000Z","491.4839","2.511"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2467.448","2021-06-01T02:00:00.000Z","982.6555","2.4674"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4818.7808","2021-06-01T02:00:00.000Z","1952.9792","2.4094"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11684.092","2021-06-01T02:00:00.000Z","4849.3783","2.3368"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.3022","2020-10-01T00:00:00.000Z","0","3.3022"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","281.409","2020-10-01T00:00:00.000Z","85.2186","2.8141"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","528.3597","2020-10-01T00:00:00.000Z","187.7544","2.6418"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","775.3104","2020-10-01T00:00:00.000Z","293.4781","2.5844"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1010.775","2020-10-01T00:00:00.000Z","391.1063","2.5269"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1241.9324","2020-10-01T00:00:00.000Z","491.4846","2.4839"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2440.792","2021-06-01T00:00:00.000Z","982.645","2.4408"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4766.7232","2021-06-01T00:00:00.000Z","1952.9348","2.3834"
"2023-07-07T06:09:02.036Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11557.868","2021-06-01T00:00:00.000Z","4849.3195","2.3116"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1977","2020-10-01T00:00:00.000Z","0","3.1977"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","272.5027","2020-10-01T00:00:00.000Z","85.2183","2.725"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","511.6378","2020-10-01T00:00:00.000Z","187.757","2.5582"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","750.7728","2020-10-01T00:00:00.000Z","293.477","2.5026"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","978.7853","2020-10-01T00:00:00.000Z","391.1074","2.447"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1202.6268","2020-10-01T00:00:00.000Z","491.4699","2.4053"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2363.544","2021-06-01T00:00:00.000Z","982.64","2.3635"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4615.8624","2021-06-01T00:00:00.000Z","1952.9775","2.3079"
"2023-08-02T06:09:03.844Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11192.076","2021-06-01T00:00:00.000Z","4849.4631","2.2384"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.2441","2020-10-01T00:00:00.000Z","0","3.2441"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","276.4541","2020-10-01T00:00:00.000Z","85.2175","2.7645"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","519.0566","2020-10-01T00:00:00.000Z","187.7579","2.5953"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","761.6592","2020-10-01T00:00:00.000Z","293.4764","2.5389"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","992.9779","2020-10-01T00:00:00.000Z","391.1056","2.4824"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1220.0652","2020-10-01T00:00:00.000Z","491.4861","2.4401"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2397.816","2021-06-01T00:00:00.000Z","982.6712","2.3978"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4682.7936","2021-06-01T00:00:00.000Z","1952.9542","2.3414"
"2023-09-02T06:07:00.316Z","Azure Monitor","southafricawest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11354.364","2021-06-01T00:00:00.000Z","4849.3910","2.2709"
