"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.9765","2020-10-01T02:00:00.000Z","0","5.9765"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","509.2976","2020-10-01T02:00:00.000Z","85.2167","5.093"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","956.2322","2020-10-01T02:00:00.000Z","187.7542","4.7812"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1403.1669","2020-10-01T02:00:00.000Z","293.4759","4.6772"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1829.3138","2020-10-01T02:00:00.000Z","391.113","4.5733"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2247.6654","2020-10-01T02:00:00.000Z","491.4756","4.4953"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4417.3772","2021-06-01T02:00:00.000Z","982.6657","4.4174"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8626.8778","2021-06-01T02:00:00.000Z","1952.9311","4.3134"
"2023-03-29T15:50:58.330Z","Azure Monitor","southafricawest","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20917.5802","2021-06-01T02:00:00.000Z","4849.4413","4.1835"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.9121","2020-10-01T02:00:00.000Z","0","5.9121"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","503.8156","2020-10-01T02:00:00.000Z","85.2177","5.0382"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","945.9394","2020-10-01T02:00:00.000Z","187.7534","4.7297"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1388.0633","2020-10-01T02:00:00.000Z","293.4781","4.6269"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1809.6233","2020-10-01T02:00:00.000Z","391.1092","4.5241"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2223.4718","2020-10-01T02:00:00.000Z","491.4727","4.4469"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4369.8289","2021-06-01T02:00:00.000Z","982.6686","4.3698"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8534.0188","2021-06-01T02:00:00.000Z","1952.9541","4.267"
"2023-04-12T13:28:34.468Z","Azure Monitor","southafricawest","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20692.4251","2021-06-01T02:00:00.000Z","4849.4083","4.1385"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","6.0057","2020-10-01T02:00:00.000Z","0","6.0057"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","511.7911","2020-10-01T02:00:00.000Z","85.2176","5.1179"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","960.9139","2020-10-01T02:00:00.000Z","187.7555","4.8046"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1410.0367","2020-10-01T02:00:00.000Z","293.4764","4.7001"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1838.2701","2020-10-01T02:00:00.000Z","391.113","4.5957"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2258.6699","2020-10-01T02:00:00.000Z","491.4746","4.5173"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4439.0045","2021-06-01T02:00:00.000Z","982.6676","4.439"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8669.1146","2021-06-01T02:00:00.000Z","1952.9431","4.3346"
"2023-05-02T08:07:40.927Z","Azure Monitor","southafricawest","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","21019.9918","2021-06-01T02:00:00.000Z","4849.3498","4.204"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","6.0912","2020-10-01T02:00:00.000Z","0","6.0912"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","519.0764","2020-10-01T02:00:00.000Z","85.2174","5.1908"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","974.5924","2020-10-01T02:00:00.000Z","187.7538","4.873"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1430.1084","2020-10-01T02:00:00.000Z","293.476","4.767"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1864.4376","2020-10-01T02:00:00.000Z","391.1134","4.6611"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2290.8218","2020-10-01T02:00:00.000Z","491.4766","4.5816"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4502.1932","2021-06-01T02:00:00.000Z","982.6683","4.5022"
"2023-06-02T08:07:42.568Z","Azure Monitor","southafricawest","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8792.5184","2021-06-01T02:00:00.000Z","1952.9382","4.3963"
