"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.4481","2018-02-01T00:00:00.000Z","0","4.4481"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","379.0539","2019-11-01T00:00:00.000Z","85.217","3.7905"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","711.6929","2019-11-01T00:00:00.000Z","187.757","3.5585"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1044.332","2019-11-01T00:00:00.000Z","293.4753","3.4811"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1361.4996","2019-11-01T00:00:00.000Z","391.1119","3.4037"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1672.8652","2019-11-01T00:00:00.000Z","491.4843","3.3457"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3287.712","2021-06-01T02:00:00.000Z","982.6679","3.2877"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6420.7081","2021-06-01T02:00:00.000Z","1952.9483","3.2104"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15568.2832","2021-06-01T02:00:00.000Z","4849.3282","3.1137"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.4737","2018-02-01T00:00:00.000Z","0","4.4737"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","381.2374","2019-11-01T00:00:00.000Z","85.2175","3.8124"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","715.7926","2019-11-01T00:00:00.000Z","187.7538","3.579"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1050.3479","2019-11-01T00:00:00.000Z","293.4752","3.5012"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1369.3424","2019-11-01T00:00:00.000Z","391.1066","3.4234"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1682.5017","2019-11-01T00:00:00.000Z","491.471","3.365"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3306.6507","2021-06-01T02:00:00.000Z","982.6599","3.3067"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6457.6943","2021-06-01T02:00:00.000Z","1952.9121","3.2288"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15657.9636","2021-06-01T02:00:00.000Z","4849.4684","3.1316"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.5245","2018-02-01T00:00:00.000Z","0","4.5245"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","385.564","2019-11-01T00:00:00.000Z","85.2169","3.8556"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","723.9162","2019-11-01T00:00:00.000Z","187.7571","3.6196"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1062.2683","2019-11-01T00:00:00.000Z","293.4767","3.5409"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1384.8831","2019-11-01T00:00:00.000Z","391.1105","3.4622"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1701.5964","2019-11-01T00:00:00.000Z","491.4784","3.4032"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3344.178","2021-06-01T02:00:00.000Z","982.6569","3.3442"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6530.9828","2021-06-01T02:00:00.000Z","1952.9283","3.2655"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15835.6662","2021-06-01T02:00:00.000Z","4849.3848","3.1671"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.5947","2018-02-01T00:00:00.000Z","0","4.5947"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","391.5482","2019-11-01T00:00:00.000Z","85.2174","3.9155"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","735.1517","2019-11-01T00:00:00.000Z","187.7542","3.6758"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1078.7553","2019-11-01T00:00:00.000Z","293.475","3.5959"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1406.3773","2019-11-01T00:00:00.000Z","391.1058","3.5159"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1728.0061","2019-11-01T00:00:00.000Z","491.4833","3.456"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3396.0814","2021-06-01T02:00:00.000Z","982.6624","3.3961"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6632.3473","2021-06-01T02:00:00.000Z","1952.9305","3.3162"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16081.4445","2021-06-01T02:00:00.000Z","4849.3591","3.2163"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.53","2018-02-01T00:00:00.000Z","0","4.53"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","386.0314","2019-11-01T00:00:00.000Z","85.2166","3.8603"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","724.7936","2019-11-01T00:00:00.000Z","187.7558","3.624"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1063.5558","2019-11-01T00:00:00.000Z","293.4757","3.5452"
