"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","31.1397","2018-02-01T00:00:00.000Z","0","31.1397"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2653.6401","2019-11-01T00:00:00.000Z","85.2173","26.5364"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4982.3446","2019-11-01T00:00:00.000Z","187.7551","24.9117"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7311.0492","2019-11-01T00:00:00.000Z","293.4785","24.3702"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9531.4419","2019-11-01T00:00:00.000Z","391.1105","23.8286"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11711.2177","2019-11-01T00:00:00.000Z","491.4774","23.4224"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","23016.266","2021-06-01T02:00:00.000Z","982.6604","23.0163"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44949.4136","2021-06-01T02:00:00.000Z","1952.9383","22.4747"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","108988.789","2021-06-01T02:00:00.000Z","4849.3991","21.7978"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","31.1685","2018-02-01T00:00:00.000Z","0","31.1685"
