"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.8559","2018-02-01T00:00:00.000Z","0","4.8559"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","413.8043","2019-11-01T00:00:00.000Z","85.2168","4.138"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","776.9387","2019-11-01T00:00:00.000Z","187.7571","3.8847"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1140.0731","2019-11-01T00:00:00.000Z","293.4778","3.8002"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1486.3175","2019-11-01T00:00:00.000Z","391.1156","3.7158"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1826.2282","2019-11-01T00:00:00.000Z","491.4765","3.6525"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3589.119","2021-06-01T02:00:00.000Z","982.6472","3.5891"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7009.3382","2021-06-01T02:00:00.000Z","1952.9515","3.5047"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16995.5339","2021-06-01T02:00:00.000Z","4849.3548","3.3991"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.8036","2018-02-01T00:00:00.000Z","0","4.8036"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","409.3501","2019-11-01T00:00:00.000Z","85.2174","4.0935"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","768.5758","2019-11-01T00:00:00.000Z","187.7552","3.8429"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1127.8014","2019-11-01T00:00:00.000Z","293.4766","3.7593"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1470.3189","2019-11-01T00:00:00.000Z","391.1151","3.6758"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1806.5708","2019-11-01T00:00:00.000Z","491.4769","3.6131"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3550.486","2021-06-01T02:00:00.000Z","982.6703","3.5505"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6933.8903","2021-06-01T02:00:00.000Z","1952.9335","3.4669"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","16812.5954","2021-06-01T02:00:00.000Z","4849.4607","3.3625"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","NZD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.8796","2018-02-01T00:00:00.000Z","0","4.8796"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","415.8303","2019-11-01T00:00:00.000Z","85.2181","4.1583"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","780.7426","2019-11-01T00:00:00.000Z","187.7552","3.9037"
