"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.1038","2018-02-01T00:00:00.000Z","0","91.1038"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7763.6286","2019-11-01T00:00:00.000Z","85.2174","77.6363"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14576.6088","2019-11-01T00:00:00.000Z","187.7551","72.883"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21389.589","2019-11-01T00:00:00.000Z","293.4784","71.2986"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","27885.6864","2019-11-01T00:00:00.000Z","391.1113","69.7142"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","34262.9527","2019-11-01T00:00:00.000Z","491.4774","68.5259"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","67337.595","2021-06-01T02:00:00.000Z","982.659","67.3376"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","131506.362","2021-06-01T02:00:00.000Z","1952.941","65.7532"
"2023-03-29T15:50:58.330Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","318863.3175","2021-06-01T02:00:00.000Z","4849.3962","63.7727"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.0051","2018-02-01T00:00:00.000Z","0","91.0051"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7755.2202","2019-11-01T00:00:00.000Z","85.2174","77.5522"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14560.8216","2019-11-01T00:00:00.000Z","187.7551","72.8041"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21366.423","2019-11-01T00:00:00.000Z","293.4783","71.2214"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","27855.4848","2019-11-01T00:00:00.000Z","391.1112","69.6387"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","34225.8442","2019-11-01T00:00:00.000Z","491.4774","68.4517"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","67264.665","2021-06-01T02:00:00.000Z","982.6588","67.2647"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","131363.934","2021-06-01T02:00:00.000Z","1952.9402","65.682"
"2023-04-12T13:28:34.468Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","318517.9725","2021-06-01T02:00:00.000Z","4849.3952","63.7036"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.8707","2018-02-01T00:00:00.000Z","0","91.8707"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7828.9848","2019-11-01T00:00:00.000Z","85.2174","78.2898"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14699.3184","2019-11-01T00:00:00.000Z","187.7552","73.4966"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21569.652","2019-11-01T00:00:00.000Z","293.4782","71.8988"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","28120.4352","2019-11-01T00:00:00.000Z","391.1113","70.3011"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","34551.387","2019-11-01T00:00:00.000Z","491.4772","69.1028"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","67904.46","2021-06-01T02:00:00.000Z","982.6586","67.9045"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","132613.416","2021-06-01T02:00:00.000Z","1952.94","66.3067"
"2023-05-02T08:07:40.927Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","321547.59","2021-06-01T02:00:00.000Z","4849.3982","64.3095"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.9171","2018-02-01T00:00:00.000Z","0","91.9171"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7832.9342","2019-11-01T00:00:00.000Z","85.2174","78.3293"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14706.7336","2019-11-01T00:00:00.000Z","187.7552","73.5337"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21580.533","2019-11-01T00:00:00.000Z","293.4781","71.9351"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","28134.6208","2019-11-01T00:00:00.000Z","391.1112","70.3366"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","34568.8167","2019-11-01T00:00:00.000Z","491.4769","69.1376"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","67938.715","2021-06-01T02:00:00.000Z","982.6594","67.9387"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","132680.314","2021-06-01T02:00:00.000Z","1952.9416","66.3402"
"2023-06-02T08:07:42.568Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","321709.7975","2021-06-01T02:00:00.000Z","4849.3944","64.342"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","92.8873","2018-02-01T00:00:00.000Z","0","92.8873"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7915.6168","2019-11-01T00:00:00.000Z","85.2174","79.1562"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14861.9744","2019-11-01T00:00:00.000Z","187.755","74.3099"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21808.332","2019-11-01T00:00:00.000Z","293.4782","72.6944"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","28431.6032","2019-11-01T00:00:00.000Z","391.1113","71.079"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","34933.717","2019-11-01T00:00:00.000Z","491.4773","69.8674"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","68655.86","2021-06-01T00:00:00.000Z","982.6594","68.6559"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","134080.856","2021-06-01T00:00:00.000Z","1952.94","67.0404"
"2023-07-07T06:09:02.036Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","325105.69","2021-06-01T00:00:00.000Z","4849.3996","65.0211"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7959.6972","2019-11-01T00:00:00.000Z","85.692","79.597"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14944.7376","2019-11-01T00:00:00.000Z","187.755","74.7237"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21929.778","2019-11-01T00:00:00.000Z","293.4782","73.0993"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","28589.9328","2019-11-01T00:00:00.000Z","391.1109","71.4748"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","35128.2555","2019-11-01T00:00:00.000Z","491.4775","70.2565"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","69038.19","2021-06-01T00:00:00.000Z","982.6591","69.0382"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","134827.524","2021-06-01T00:00:00.000Z","1952.9409","67.4138"
"2023-08-01T06:08:30.007Z","Azure Monitor","southeastasia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","326916.135","2021-06-01T00:00:00.000Z","4849.3949","65.3832"
"2023-08-02T06:09:03.844Z","Azure Monitor","southeastasia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","93.4046","2018-02-01T00:00:00.000Z","0","93.4046"
