"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","285.4789","2018-02-01T00:00:00.000Z","0","285.4789"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","24489.9501","2019-11-01T00:00:00.000Z","85.7855","244.8995"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","45981.1308","2019-11-01T00:00:00.000Z","187.7551","229.9057"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","67472.3115","2019-11-01T00:00:00.000Z","293.4782","224.9077"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","87963.9024","2019-11-01T00:00:00.000Z","391.1111","219.9098"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","108080.6471","2019-11-01T00:00:00.000Z","491.4772","216.1613"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","212412.8325","2021-06-01T02:00:00.000Z","982.6589","212.4128"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","414829.767","2021-06-01T02:00:00.000Z","1952.9415","207.4149"
"2023-03-29T15:50:58.330Z","Azure Monitor","southindia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1005837.2363","2021-06-01T02:00:00.000Z","4849.3972","201.1674"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","284.0816","2018-02-01T00:00:00.000Z","0","284.0816"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","24370.0863","2019-11-01T00:00:00.000Z","85.7855","243.7009"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","45756.0804","2019-11-01T00:00:00.000Z","187.7551","228.7804"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","67142.0745","2019-11-01T00:00:00.000Z","293.4783","223.8069"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","87533.3712","2019-11-01T00:00:00.000Z","391.1111","218.8334"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","107551.6564","2019-11-01T00:00:00.000Z","491.4773","215.1033"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","211373.1975","2021-06-01T02:00:00.000Z","982.659","211.3732"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","412799.421","2021-06-01T02:00:00.000Z","1952.9412","206.3997"
"2023-04-12T13:28:34.468Z","Azure Monitor","southindia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1000914.2588","2021-06-01T02:00:00.000Z","4849.3978","200.1829"
"2023-05-02T08:07:40.927Z","Azure Monitor","southindia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","282.1108","2018-02-01T00:00:00.000Z","0","282.1108"
"2023-05-02T08:07:40.927Z","Azure Monitor","southindia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","24201.0192","2019-11-01T00:00:00.000Z","85.7855","242.0102"
"2023-05-02T08:07:40.927Z","Azure Monitor","southindia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","45438.6482","2019-11-01T00:00:00.000Z","187.7551","227.1932"
"2023-05-02T08:07:40.927Z","Azure Monitor","southindia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","66676.2773","2019-11-01T00:00:00.000Z","293.4783","222.2543"
"2023-05-02T08:07:40.927Z","Azure Monitor","southindia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","86926.1096","2019-11-01T00:00:00.000Z","391.111","217.3153"
