"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","539.5391","2020-09-01T02:00:00.000Z","0","539.5391"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","45978.1112","2020-09-01T02:00:00.000Z","85.2174","459.7811"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","86326.2496","2020-09-01T02:00:00.000Z","187.7551","431.6312"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","126674.388","2020-09-01T02:00:00.000Z","293.4783","422.248"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","165145.8688","2020-09-01T02:00:00.000Z","391.1111","412.8647"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","202913.603","2020-09-01T02:00:00.000Z","491.4772","405.8272"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","398789.74","2021-06-01T02:00:00.000Z","982.659","398.7897"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","778812.904","2021-06-01T02:00:00.000Z","1952.9414","389.4065"
"2023-03-29T15:50:58.330Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1888386.71","2021-06-01T02:00:00.000Z","4849.397","377.6773"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","524.1898","2020-09-01T02:00:00.000Z","0","524.1898"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","44670.0856","2020-09-01T02:00:00.000Z","85.2174","446.7009"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","83870.3648","2020-09-01T02:00:00.000Z","187.7551","419.3518"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","123070.644","2020-09-01T02:00:00.000Z","293.4783","410.2355"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","160447.6544","2020-09-01T02:00:00.000Z","391.1111","401.1191"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","197140.939","2020-09-01T02:00:00.000Z","491.4773","394.2819"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","387444.62","2021-06-01T02:00:00.000Z","982.6589","387.4446"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","756656.552","2021-06-01T02:00:00.000Z","1952.9413","378.3283"
"2023-04-12T13:28:34.468Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1834664.23","2021-06-01T02:00:00.000Z","4849.3973","366.9328"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","527.5128","2020-09-01T02:00:00.000Z","0","527.5128"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","44953.2664","2020-09-01T02:00:00.000Z","85.2174","449.5327"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","84402.0512","2020-09-01T02:00:00.000Z","187.7551","422.0103"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","123850.836","2020-09-01T02:00:00.000Z","293.4782","412.8361"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","161464.7936","2020-09-01T02:00:00.000Z","391.1111","403.662"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","198390.691","2020-09-01T02:00:00.000Z","491.4773","396.7814"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","389900.78","2021-06-01T02:00:00.000Z","982.6589","389.9008"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","761453.288","2021-06-01T02:00:00.000Z","1952.9411","380.7266"
"2023-05-02T08:07:40.927Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1846294.87","2021-06-01T02:00:00.000Z","4849.3982","369.259"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","555.7982","2020-09-01T02:00:00.000Z","0","555.7982"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","47363.6744","2020-09-01T02:00:00.000Z","85.2174","473.6367"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","88927.7152","2020-09-01T02:00:00.000Z","187.7551","444.6386"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","130491.756","2020-09-01T02:00:00.000Z","293.4782","434.9725"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","170122.5856","2020-09-01T02:00:00.000Z","391.1111","425.3065"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","209028.461","2020-09-01T02:00:00.000Z","491.4772","418.0569"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","410807.38","2021-06-01T02:00:00.000Z","982.659","410.8074"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","802282.648","2021-06-01T02:00:00.000Z","1952.9411","401.1413"
"2023-06-02T08:07:42.568Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1945293.77","2021-06-01T02:00:00.000Z","4849.3979","389.0588"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","571.82","2020-09-01T00:00:00.000Z","0","571.82"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","48729.0104","2020-09-01T00:00:00.000Z","85.2174","487.2901"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","91491.2032","2020-09-01T00:00:00.000Z","187.7551","457.456"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","134253.396","2020-09-01T00:00:00.000Z","293.4783","447.5113"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","175026.6496","2020-09-01T00:00:00.000Z","391.1111","437.5666"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","215054.051","2020-09-01T00:00:00.000Z","491.4773","430.1081"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","422649.58","2021-06-01T00:00:00.000Z","982.659","422.6496"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","825409.768","2021-06-01T00:00:00.000Z","1952.9411","412.7049"
"2023-07-07T06:09:02.036Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2001370.07","2021-06-01T00:00:00.000Z","4849.3974","400.274"
"2023-08-01T06:08:30.007Z","Azure Monitor","uaecentral","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","47619.8856","2020-09-01T00:00:00.000Z","83.2778","476.1989"
"2023-08-01T06:08:30.007Z","Azure Monitor","uaecentral","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","89408.7648","2020-09-01T00:00:00.000Z","187.7551","447.0438"
"2023-08-01T06:08:30.007Z","Azure Monitor","uaecentral","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","171042.8544","2020-09-01T00:00:00.000Z","382.209","427.6071"
"2023-08-01T06:08:30.007Z","Azure Monitor","uaecentral","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1955816.73","2021-06-01T00:00:00.000Z","4739.0199","391.1633"
"2023-08-02T06:09:03.844Z","Azure Monitor","uaecentral","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","558.8048","2020-09-01T00:00:00.000Z","0","558.8048"
"2023-08-02T06:09:03.844Z","Azure Monitor","uaecentral","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","131197.644","2020-09-01T00:00:00.000Z","293.4783","437.3255"
"2023-08-02T06:09:03.844Z","Azure Monitor","uaecentral","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","210159.189","2020-09-01T00:00:00.000Z","491.4773","420.3184"
"2023-08-02T06:09:03.844Z","Azure Monitor","uaecentral","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","413029.62","2021-06-01T00:00:00.000Z","982.6589","413.0296"
