"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.11","2023-07-01T00:00:00.000Z","0","2.11"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","224.7603","2023-07-01T00:00:00.000Z","106.5215","2.2476"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","421.999","2023-07-01T00:00:00.000Z","187.7554","2.11"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","619.2376","2023-07-01T00:00:00.000Z","293.4775","2.0641"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","807.3024","2023-07-01T00:00:00.000Z","391.1159","2.0183"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","991.927","2023-07-01T00:00:00.000Z","491.4666","1.9839"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1949.4519","2023-07-01T00:00:00.000Z","982.6362","1.9495"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3807.1648","2023-07-01T00:00:00.000Z","1952.8929","1.9036"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9231.2279","2023-07-01T00:00:00.000Z","4849.3528","1.8462"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.0925","2023-07-01T00:00:00.000Z","0","2.0925"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","418.5052","2023-07-01T00:00:00.000Z","186.2009","2.0925"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1933.3121","2023-07-01T00:00:00.000Z","974.5008","1.9333"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3775.6448","2023-07-01T00:00:00.000Z","1952.9534","1.8878"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","222.8995","2023-07-01T00:00:00.000Z","106.5231","2.229"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","614.1109","2023-07-01T00:00:00.000Z","293.4819","2.047"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","800.6187","2023-07-01T00:00:00.000Z","391.1181","2.0015"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","983.7147","2023-07-01T00:00:00.000Z","491.4887","1.9674"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9154.8014","2023-07-01T00:00:00.000Z","4849.4551","1.831"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.1239","2023-07-01T00:00:00.000Z","0","2.1239"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","226.2443","2023-07-01T00:00:00.000Z","106.5230","2.2624"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","424.7853","2023-07-01T00:00:00.000Z","187.7587","2.1239"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","623.3263","2023-07-01T00:00:00.000Z","293.4819","2.0778"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","812.6327","2023-07-01T00:00:00.000Z","391.1025","2.0316"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","998.4763","2023-07-01T00:00:00.000Z","491.4729","1.9970"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1962.3234","2023-07-01T00:00:00.000Z","982.6357","1.9623"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3832.3022","2023-07-01T00:00:00.000Z","1952.9645","1.9162"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9292.1784","2023-07-01T00:00:00.000Z","4849.2738","1.8584"
