"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","24.8737","2023-07-01T00:00:00.000Z","0","24.8737"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2649.5892","2023-07-01T00:00:00.000Z","106.5217","26.4959"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4974.739","2023-07-01T00:00:00.000Z","187.755","24.8737"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7299.8887","2023-07-01T00:00:00.000Z","293.4782","24.333"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9516.892","2023-07-01T00:00:00.000Z","391.1105","23.7922"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11693.3403","2023-07-01T00:00:00.000Z","491.4779","23.3867"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22981.1312","2023-07-01T00:00:00.000Z","982.6581","22.9811"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44880.7975","2023-07-01T00:00:00.000Z","1952.9438","22.4404"
"2023-07-07T06:09:02.036Z","Azure Monitor","usgovtexas","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","108822.4156","2023-07-01T00:00:00.000Z","4849.3973","21.7645"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","23.2877","2023-07-01T00:00:00.000Z","0","23.2877"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4657.546","2023-07-01T00:00:00.000Z","175.7836","23.2877"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","21515.8375","2023-07-01T00:00:00.000Z","920.0031","21.5158"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","42019.165","2023-07-01T00:00:00.000Z","1952.9446","21.0096"
"2023-08-01T06:08:30.007Z","Azure Monitor","usgovtexas","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","101883.8187","2023-07-01T00:00:00.000Z","4849.3935","20.3768"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2480.6495","2023-07-01T00:00:00.000Z","106.5219","24.8065"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","6834.4425","2023-07-01T00:00:00.000Z","293.4786","22.7815"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","8910.088","2023-07-01T00:00:00.000Z","391.1107","22.2752"
"2023-08-02T06:09:03.844Z","Azure Monitor","usgovtexas","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","10947.7644","2023-07-01T00:00:00.000Z","491.4777","21.8955"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","24.5547","2023-07-01T00:00:00.000Z","0","24.5547"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2615.6078","2023-07-01T00:00:00.000Z","106.5217","26.1561"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4910.937","2023-07-01T00:00:00.000Z","187.7549","24.5547"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7206.2663","2023-07-01T00:00:00.000Z","293.4781","24.0209"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9394.836","2023-07-01T00:00:00.000Z","391.1109","23.4871"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11543.3709","2023-07-01T00:00:00.000Z","491.4771","23.0867"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22686.3938","2023-07-01T00:00:00.000Z","982.6607","22.6864"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44305.1925","2023-07-01T00:00:00.000Z","1952.9406","22.1526"
"2023-09-02T06:07:00.316Z","Azure Monitor","usgovtexas","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","107426.7469","2023-07-01T00:00:00.000Z","4849.3968","21.4853"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","24.7308","2023-07-01T00:00:00.000Z","0","24.7308"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2634.3625","2023-07-01T00:00:00.000Z","106.5215","26.3436"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4946.15","2023-07-01T00:00:00.000Z","187.7553","24.7308"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7257.9375","2023-07-01T00:00:00.000Z","293.4777","24.1931"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9462.2","2023-07-01T00:00:00.000Z","391.1115","23.6555"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11626.1406","2023-07-01T00:00:00.000Z","491.4773","23.2523"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22849.0625","2023-07-01T00:00:00.000Z","982.6582","22.8491"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44622.875","2023-07-01T00:00:00.000Z","1952.9380","22.3114"
"2023-10-02T06:08:46.154Z","Azure Monitor","usgovtexas","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","108197.0313","2023-07-01T00:00:00.000Z","4849.4057","21.6394"
