"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","238.3128","2018-02-01T00:00:00.000Z","0","238.3128"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","20273.1375","2019-11-01T00:00:00.000Z","85.0694","202.7314"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","38063.85","2019-11-01T00:00:00.000Z","187.7551","190.3192"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","55854.5625","2019-11-01T00:00:00.000Z","293.4783","186.1819"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","72817.8","2019-11-01T00:00:00.000Z","391.1111","182.0445"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","89470.7344","2019-11-01T00:00:00.000Z","491.4773","178.9415"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","175838.4375","2021-06-01T01:00:00.000Z","982.6588","175.8384"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","343402.125","2021-06-01T01:00:00.000Z","1952.9416","171.7011"
"2023-03-29T14:50:58.330Z","Azure Monitor","usgovvirginia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","832646.7188","2021-06-01T01:00:00.000Z","4849.3965","166.5293"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","237.1464","2018-02-01T00:00:00.000Z","0","237.1464"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","20173.9125","2019-11-01T00:00:00.000Z","85.0694","201.7391"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","37877.55","2019-11-01T00:00:00.000Z","187.7551","189.3878"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","55581.1875","2019-11-01T00:00:00.000Z","293.4782","185.2706"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","72461.4","2019-11-01T00:00:00.000Z","391.1112","181.1535"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","89032.8281","2019-11-01T00:00:00.000Z","491.4773","178.0657"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","174977.8125","2021-06-01T01:00:00.000Z","982.6587","174.9778"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","341721.375","2021-06-01T01:00:00.000Z","1952.9413","170.8607"
"2023-04-12T12:28:34.468Z","Azure Monitor","usgovvirginia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","828571.4063","2021-06-01T01:00:00.000Z","4849.3972","165.7143"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","235.5012","2018-02-01T00:00:00.000Z","0","235.5012"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","20033.9563","2019-11-01T00:00:00.000Z","85.0694","200.3396"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","37614.775","2019-11-01T00:00:00.000Z","187.7551","188.0739"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","55195.5938","2019-11-01T00:00:00.000Z","293.4782","183.9853"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","71958.7","2019-11-01T00:00:00.000Z","391.1111","179.8968"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","88415.1641","2019-11-01T00:00:00.000Z","491.4771","176.8303"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","173763.9063","2021-06-01T01:00:00.000Z","982.6591","173.7639"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","339350.6875","2021-06-01T01:00:00.000Z","1952.9412","169.6753"
"2023-05-02T07:07:40.927Z","Azure Monitor","usgovvirginia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","822823.2031","2021-06-01T01:00:00.000Z","4849.3988","164.5646"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","237.8052","2018-02-01T00:00:00.000Z","0","237.8052"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","20229.9562","2019-11-01T00:00:00.000Z","85.0694","202.2996"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","37982.775","2019-11-01T00:00:00.000Z","187.7551","189.9139"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","55735.5937","2019-11-01T00:00:00.000Z","293.4782","185.7853"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","72662.7","2019-11-01T00:00:00.000Z","391.1111","181.6568"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","89280.1641","2019-11-01T00:00:00.000Z","491.4771","178.5603"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","175463.9062","2021-06-01T01:00:00.000Z","982.6591","175.4639"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","342670.6875","2021-06-01T01:00:00.000Z","1952.9412","171.3353"
"2023-06-02T07:07:42.568Z","Azure Monitor","usgovvirginia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","830873.2031","2021-06-01T01:00:00.000Z","4849.3988","166.1746"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","236.322","2018-02-01T00:00:00.000Z","0","236.322"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","20103.7812","2019-11-01T00:00:00.000Z","85.0694","201.0378"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","37745.875","2019-11-01T00:00:00.000Z","187.7551","188.7294"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","55387.9687","2019-11-01T00:00:00.000Z","293.4782","184.6266"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","72209.5","2019-11-01T00:00:00.000Z","391.111","180.5238"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","88723.3203","2019-11-01T00:00:00.000Z","491.4771","177.4466"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","174369.5312","2021-06-01T01:00:00.000Z","982.6592","174.3695"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","340533.4375","2021-06-01T01:00:00.000Z","1952.9415","170.2667"
"2023-07-02T07:08:00.652Z","Azure Monitor","usgovvirginia","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","825691.0156","2021-06-01T01:00:00.000Z","4849.3981","165.1382"
