"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.8102","2018-02-01T00:00:00.000Z","0","2.8102"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","237.6317","2019-11-01T00:00:00.000Z","84.5604","2.3763"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","446.1656","2019-11-01T00:00:00.000Z","187.7564","2.2308"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","654.6995","2019-11-01T00:00:00.000Z","293.4819","2.1823"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","853.5342","2019-11-01T00:00:00.000Z","391.1168","2.1338"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1048.7316","2019-11-01T00:00:00.000Z","491.4854","2.0975"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2061.0911","2021-06-01T02:00:00.000Z","982.6418","2.0611"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4025.1896","2021-06-01T02:00:00.000Z","1952.9327","2.0126"
"2023-03-29T15:50:58.330Z","Azure Monitor","westeurope","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9759.8723","2021-06-01T02:00:00.000Z","4849.385","1.952"
"2023-04-12T13:28:34.468Z","Azure Monitor","westeurope","CHF","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.7493","2018-02-01T00:00:00.000Z","0","2.7493"
