"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","105.1198","2018-02-01T00:00:00.000Z","0","105.1198"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","8241.3904","2019-11-01T00:00:00.000Z","78.4","82.4139"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","15473.6309","2019-11-01T00:00:00.000Z","187.7551","77.3682"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","22705.8714","2019-11-01T00:00:00.000Z","293.4781","75.6862"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","29601.7286","2019-11-01T00:00:00.000Z","391.1113","74.0043"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","36371.4421","2019-11-01T00:00:00.000Z","491.4774","72.7429"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","71481.447","2021-06-01T02:00:00.000Z","982.6587","71.4814"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","139599.0612","2021-06-01T02:00:00.000Z","1952.9425","69.7995"
"2023-03-29T15:50:58.330Z","Azure Monitor","westindia","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","338485.6755","2021-06-01T02:00:00.000Z","4849.3997","67.6971"
"2023-04-12T13:28:34.468Z","Azure Monitor","westindia","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","105.0059","2018-02-01T00:00:00.000Z","0","105.0059"
