"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","213.36","2019-09-24T01:00:00.000Z","0","213.36"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","10668","2019-09-24T01:00:00.000Z","50","106.68"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","19202.4","2019-09-24T01:00:00.000Z","180","96.012"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","27736.8","2019-09-24T01:00:00.000Z","288.8889","92.456"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","35559.492","2019-09-24T01:00:00.000Z","384.6099","88.8987"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","42672","2019-09-24T01:00:00.000Z","480.007","85.344"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","83210.4","2021-06-01T01:00:00.000Z","975","83.2104"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","157886.4","2021-06-01T01:00:00.000Z","1897.4359","78.9432"
"2023-03-29T14:50:58.330Z","Sentinel","australiasoutheast","RUB","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","373380","2021-06-01T01:00:00.000Z","4729.7297","74.676"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","216.3","2019-09-24T01:00:00.000Z","0","216.3"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","10815","2019-09-24T01:00:00.000Z","50","108.15"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","19467","2019-09-24T01:00:00.000Z","180","97.335"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","28119","2019-09-24T01:00:00.000Z","288.8889","93.73"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","36049.485","2019-09-24T01:00:00.000Z","384.6099","90.1237"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","43260","2019-09-24T01:00:00.000Z","480.0069","86.52"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","84357","2021-06-01T01:00:00.000Z","975","84.357"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","160062","2021-06-01T01:00:00.000Z","1897.4359","80.031"
"2023-04-12T12:28:34.468Z","Sentinel","australiasoutheast","RUB","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","378525","2021-06-01T01:00:00.000Z","4729.7297","75.705"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","231.7","2019-09-24T01:00:00.000Z","0","231.7"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","11585","2019-09-24T01:00:00.000Z","50","115.85"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","20853","2019-09-24T01:00:00.000Z","180","104.265"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","30121","2019-09-24T01:00:00.000Z","288.8889","100.4033"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","38616.115","2019-09-24T01:00:00.000Z","384.61","96.5403"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","46340","2019-09-24T01:00:00.000Z","480.0068","92.68"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","90363","2021-06-01T01:00:00.000Z","975","90.363"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","171458","2021-06-01T01:00:00.000Z","1897.4359","85.729"
"2023-05-02T07:07:40.927Z","Sentinel","australiasoutheast","RUB","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","405475","2021-06-01T01:00:00.000Z","4729.7297","81.095"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","531.724","2023-07-01T01:00:00.000Z","0","531.724"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","35887.04","2023-07-01T01:00:00.000Z","67.4919","358.8704"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","66439.52","2023-07-01T01:00:00.000Z","185.1351","332.1976"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","96992","2023-07-01T01:00:00.000Z","291.9708","323.3067"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","125765.716","2023-07-01T01:00:00.000Z","388.9982","314.4143"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","153368.6","2023-07-01T01:00:00.000Z","487.7914","306.7372"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","300675.2","2023-07-01T01:00:00.000Z","980.2372","300.6752"
"2023-07-02T07:08:00.652Z","Sentinel","australiasoutheast","RUB","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","581952","2023-07-01T01:00:00.000Z","1935.4839","290.976"
