"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","32.4824","2020-10-01T02:00:00.000Z","0","32.4824"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1624.122","2020-10-01T02:00:00.000Z","50.0001","16.2412"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2923.4196","2020-10-01T02:00:00.000Z","180.0002","14.6171"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","4222.7172","2020-10-01T02:00:00.000Z","288.8888","14.0757"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","5413.6929","2020-10-01T02:00:00.000Z","384.6127","13.5342"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","6496.488","2020-10-01T02:00:00.000Z","480.0053","12.993"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","12668.1516","2021-06-01T02:00:00.000Z","974.9982","12.6682"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","24037.0056","2021-06-01T02:00:00.000Z","1897.4286","12.0185"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","56844.27","2021-06-01T02:00:00.000Z","4729.7308","11.3689"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","31.6395","2020-10-01T02:00:00.000Z","0","31.6395"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1581.9745","2020-10-01T02:00:00.000Z","50","15.8197"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2847.5541","2020-10-01T02:00:00.000Z","180.0005","14.2378"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","4113.1337","2020-10-01T02:00:00.000Z","288.8883","13.7104"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","5273.2025","2020-10-01T02:00:00.000Z","384.6133","13.183"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","6327.898","2020-10-01T02:00:00.000Z","480.0044","12.6558"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","12339.4011","2021-06-01T02:00:00.000Z","974.9997","12.3394"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","23413.2226","2021-06-01T02:00:00.000Z","1897.4361","11.7066"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","55369.1075","2021-06-01T02:00:00.000Z","4729.7343","11.0738"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","31.0495","2020-10-01T02:00:00.000Z","0","31.0495"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1552.477","2020-10-01T02:00:00.000Z","50.0001","15.5248"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2794.4586","2020-10-01T02:00:00.000Z","179.9997","13.9723"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","4036.4402","2020-10-01T02:00:00.000Z","288.8887","13.4548"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","5174.8783","2020-10-01T02:00:00.000Z","384.6121","12.9372"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","6209.908","2020-10-01T02:00:00.000Z","480.004","12.4198"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","12109.3206","2021-06-01T02:00:00.000Z","975.0013","12.1093"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","22976.6596","2021-06-01T02:00:00.000Z","1897.4391","11.4883"
