"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","380.6385","2020-10-01T02:00:00.000Z","0","380.6385"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","19031.925","2020-10-01T02:00:00.000Z","50","190.3192"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","34257.465","2020-10-01T02:00:00.000Z","180","171.2873"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","49483.005","2020-10-01T02:00:00.000Z","288.8889","164.9434"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","63439.1984","2020-10-01T02:00:00.000Z","384.6119","158.598"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","76127.7","2020-10-01T02:00:00.000Z","480.0042","152.2554"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","148449.015","2021-06-01T02:00:00.000Z","975","148.449"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","281672.49","2021-06-01T02:00:00.000Z","1897.4361","140.8362"
"2023-03-29T15:50:58.330Z","Sentinel","brazilsoutheast","INR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","666117.375","2021-06-01T02:00:00.000Z","4729.7312","133.2235"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","378.7755","2020-10-01T02:00:00.000Z","0","378.7755"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","18938.775","2020-10-01T02:00:00.000Z","50","189.3878"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","34089.795","2020-10-01T02:00:00.000Z","180","170.449"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","49240.815","2020-10-01T02:00:00.000Z","288.8888","164.136"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","63128.7011","2020-10-01T02:00:00.000Z","384.6122","157.8218"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","75755.1","2020-10-01T02:00:00.000Z","480.004","151.5102"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","147722.445","2021-06-01T02:00:00.000Z","975","147.7224"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","280293.87","2021-06-01T02:00:00.000Z","1897.4365","140.1469"
"2023-04-12T13:28:34.468Z","Sentinel","brazilsoutheast","INR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","662857.125","2021-06-01T02:00:00.000Z","4729.7309","132.5714"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","376.1478","2020-10-01T02:00:00.000Z","0","376.1478"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","18807.3875","2020-10-01T02:00:00.000Z","50","188.0739"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","33853.2975","2020-10-01T02:00:00.000Z","180","169.2665"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","48899.2075","2020-10-01T02:00:00.000Z","288.8889","162.9974"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","62690.7465","2020-10-01T02:00:00.000Z","384.6119","156.7269"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","75229.55","2020-10-01T02:00:00.000Z","480.0041","150.4591"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","146697.6225","2021-06-01T02:00:00.000Z","975","146.6976"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","278349.335","2021-06-01T02:00:00.000Z","1897.4362","139.1747"
"2023-05-02T08:07:40.927Z","Sentinel","brazilsoutheast","INR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","658258.5625","2021-06-01T02:00:00.000Z","4729.7286","131.6517"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","377.4587","2020-10-01T00:00:00.000Z","0","377.4587"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","18872.9375","2020-10-01T00:00:00.000Z","50.0000","188.7294"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","33971.2875","2020-10-01T00:00:00.000Z","180.0000","169.8564"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","49069.6375","2020-10-01T00:00:00.000Z","288.8890","163.5655"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","62909.2446","2020-10-01T00:00:00.000Z","384.6119","157.2731"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","75491.75","2020-10-01T00:00:00.000Z","480.0042","150.9835"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","147208.9125","2021-06-01T00:00:00.000Z","975","147.2089"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","279319.475","2021-06-01T00:00:00.000Z","1897.4361","139.6597"
"2023-07-07T06:09:02.036Z","Sentinel","brazilsoutheast","INR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","660552.8125","2021-06-01T00:00:00.000Z","4729.7310","132.1106"
