"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","16.9474","2019-09-24T02:00:00.000Z","0","16.9474"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","847.368","2019-09-24T02:00:00.000Z","49.9999","8.4737"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1525.2624","2019-09-24T02:00:00.000Z","179.9996","7.6263"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2203.1568","2019-09-24T02:00:00.000Z","288.8893","7.3439"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","2824.56","2019-09-24T02:00:00.000Z","384.6131","7.0614"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3389.472","2019-09-24T02:00:00.000Z","480","6.7789"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6609.4704","2021-06-01T02:00:00.000Z","975.0063","6.6095"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","12541.0464","2021-06-01T02:00:00.000Z","1897.4274","6.2705"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","29657.88","2021-06-01T02:00:00.000Z","4729.7472","5.9316"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","16.5076","2019-09-24T02:00:00.000Z","0","16.5076"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","825.378","2019-09-24T02:00:00.000Z","49.9999","8.2538"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1485.6804","2019-09-24T02:00:00.000Z","179.9996","7.4284"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2145.9828","2019-09-24T02:00:00.000Z","288.889","7.1533"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","2751.26","2019-09-24T02:00:00.000Z","384.6141","6.8782"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3301.512","2019-09-24T02:00:00.000Z","479.9965","6.603"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6437.9484","2021-06-01T02:00:00.000Z","975.0035","6.4379"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","12215.5944","2021-06-01T02:00:00.000Z","1897.4502","6.1078"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","28888.23","2021-06-01T02:00:00.000Z","4729.7276","5.7776"
"2023-05-02T08:07:40.927Z","Sentinel","canadacentral","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","16.1998","2019-09-24T02:00:00.000Z","0","16.1998"
