"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","182.88","2019-09-24T02:00:00.000Z","0","182.88"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","9144","2019-09-24T02:00:00.000Z","50","91.44"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","16459.2","2019-09-24T02:00:00.000Z","180","82.296"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","23774.4","2019-09-24T02:00:00.000Z","288.8889","79.248"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","30480","2019-09-24T02:00:00.000Z","384.6154","76.2"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","36576","2019-09-24T02:00:00.000Z","480","73.152"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","71323.2","2021-06-01T02:00:00.000Z","975","71.3232"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","135331.2","2021-06-01T02:00:00.000Z","1897.4359","67.6656"
"2023-03-29T15:50:58.330Z","Sentinel","canadacentral","RUB","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","320040","2021-06-01T02:00:00.000Z","4729.7297","64.008"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","RUB","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","185.4","2019-09-24T02:00:00.000Z","0","185.4"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","RUB","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","9270","2019-09-24T02:00:00.000Z","50","92.7"
"2023-04-12T13:28:34.468Z","Sentinel","canadacentral","RUB","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","16686","2019-09-24T02:00:00.000Z","180","83.43"
