"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","29.1609","2019-09-24T01:00:00.000Z","0","29.1609"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1458.044","2019-09-24T01:00:00.000Z","50","14.5804"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2624.4792","2019-09-24T01:00:00.000Z","180.0005","13.1224"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3790.9144","2019-09-24T01:00:00.000Z","288.8888","12.6364"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4860.0772","2019-09-24T01:00:00.000Z","384.6093","12.1502"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5832.176","2019-09-24T01:00:00.000Z","480.0066","11.6644"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","11372.7432","2021-06-01T01:00:00.000Z","974.996","11.3727"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","21579.0512","2021-06-01T01:00:00.000Z","1897.4431","10.7895"
"2023-03-29T14:50:58.330Z","Sentinel","centralindia","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","51031.54","2021-06-01T01:00:00.000Z","4729.741","10.2063"
"2023-04-12T12:28:34.468Z","Sentinel","centralindia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","29.1879","2019-09-24T01:00:00.000Z","0","29.1879"
"2023-04-12T12:28:34.468Z","Sentinel","centralindia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1459.395","2019-09-24T01:00:00.000Z","50","14.594"
"2023-04-12T12:28:34.468Z","Sentinel","centralindia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2626.911","2019-09-24T01:00:00.000Z","179.9994","13.1346"
"2023-04-12T12:28:34.468Z","Sentinel","centralindia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3794.427","2019-09-24T01:00:00.000Z","288.8879","12.6481"
"2023-04-12T12:28:34.468Z","Sentinel","centralindia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4864.5805","2019-09-24T01:00:00.000Z","384.6096","12.1615"
