"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4253.485","2019-09-24T02:00:00.000Z","0","4253.485"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","212674.25","2019-09-24T02:00:00.000Z","50","2126.7425"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","382813.65","2019-09-24T02:00:00.000Z","180","1914.0682"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","552953.05","2019-09-24T02:00:00.000Z","288.8889","1843.1768"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","708909.8175","2019-09-24T02:00:00.000Z","384.613","1772.2745"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","850697","2019-09-24T02:00:00.000Z","480.003","1701.394"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1658859.15","2021-06-01T02:00:00.000Z","975","1658.8592"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3147578.9","2021-06-01T02:00:00.000Z","1897.4358","1573.7894"
"2023-03-29T15:50:58.330Z","Sentinel","francesouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7443598.75","2021-06-01T02:00:00.000Z","4729.7299","1488.7198"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4246.639","2019-09-24T02:00:00.000Z","0","4246.639"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","212331.95","2019-09-24T02:00:00.000Z","50","2123.3195"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","382197.51","2019-09-24T02:00:00.000Z","180","1910.9876"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","552063.07","2019-09-24T02:00:00.000Z","288.8889","1840.2102"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","707768.8245","2019-09-24T02:00:00.000Z","384.613","1769.4221"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","849327.8","2019-09-24T02:00:00.000Z","480.0029","1698.6556"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1656189.21","2021-06-01T02:00:00.000Z","975","1656.1892"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3142512.86","2021-06-01T02:00:00.000Z","1897.4359","1571.2564"
"2023-04-12T13:28:34.468Z","Sentinel","francesouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7431618.25","2021-06-01T02:00:00.000Z","4729.7298","1486.3236"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","4356.501","2019-09-24T02:00:00.000Z","0","4356.501"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","217825.05","2019-09-24T02:00:00.000Z","50","2178.2505"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","392085.09","2019-09-24T02:00:00.000Z","180","1960.4254"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","566345.13","2019-09-24T02:00:00.000Z","288.8889","1887.8171"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","726079.0455","2019-09-24T02:00:00.000Z","384.613","1815.1976"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","871300.2","2019-09-24T02:00:00.000Z","480.0029","1742.6004"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1699035.39","2021-06-01T02:00:00.000Z","975","1699.0354"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3223810.74","2021-06-01T02:00:00.000Z","1897.4359","1611.9054"
"2023-05-02T08:07:40.927Z","Sentinel","francesouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7623876.75","2021-06-01T02:00:00.000Z","4729.7296","1524.7754"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4261.635","2019-09-24T00:00:00.000Z","0","4261.635"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","213081.75","2019-09-24T00:00:00.000Z","50","2130.8175"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","383547.15","2019-09-24T00:00:00.000Z","180","1917.7358"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","554012.55","2019-09-24T00:00:00.000Z","288.8889","1846.7085"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","710268.1425","2019-09-24T00:00:00.000Z","384.613","1775.6704"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","852327","2019-09-24T00:00:00.000Z","480.0029","1704.654"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1662037.65","2021-06-01T00:00:00.000Z","975","1662.0376"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3153609.9","2021-06-01T00:00:00.000Z","1897.436","1576.805"
"2023-07-07T06:09:02.036Z","Sentinel","francesouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7457861.25","2021-06-01T00:00:00.000Z","4729.7296","1491.5722"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4165.465","2019-09-24T00:00:00.000Z","0","4165.465"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","208273.25","2019-09-24T00:00:00.000Z","50","2082.7325"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","374891.85","2019-09-24T00:00:00.000Z","180","1874.4592"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","541510.45","2019-09-24T00:00:00.000Z","288.8889","1805.0348"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","694239.9075","2019-09-24T00:00:00.000Z","384.6130","1735.5998"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","833093","2019-09-24T00:00:00.000Z","480.0029","1666.186"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1624531.35","2021-06-01T00:00:00.000Z","975","1624.5314"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3082444.1","2021-06-01T00:00:00.000Z","1897.4358","1541.2220"
"2023-08-01T06:08:30.007Z","Sentinel","francesouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","7289563.75","2021-06-01T00:00:00.000Z","4729.7299","1457.9128"
